unique_id,prey_1,prey_2,prey_3,prey_4,prey_5,prey_6,prey_7,prey_8,prey_9,prey_10,prey_11,prey_12,prey_13,prey_14,prey_15,prey_16,prey_17,prey_18,prey_19,prey_20,prey_21,prey_22,prey_23,prey_24,prey_25,prey_26,prey_27,prey_28,prey_29,prey_30,prey_31,prey_32,prey_33,prey_34,prey_35,prey_36,prey_37,prey_38,prey_39,prey_40,prey_41,prey_42,prey_43,prey_44,prey_45,prey_46,prey_47,prey_48,prey_49,prey_50,prey_51,prey_52,prey_53,prey_54,prey_55,prey_56,prey_57,prey_58,prey_59,prey_60
F0016,0.61,0,0.22,0,0.83,0.36,0.48,0,0,0.15,0.57,0.31,0,0.6,0.26,0,0,0,0,0.31,0,0.45,0,0.31,0.34,0.51,0.03,0.61,0.82,0,0.26,0.49,0,0,0,0,0.35,0,0.21,0,0.32,0,0,0,0.86,0.23,0.39,0,0.93,0,0.2,0,0.45,0,0.71,0.2,0.08,0.42,0,0.49
F0017,0,0,0.37,0.11,0.6,0.92,0.47,0,0,0.57,0.04,0.17,0.27,0,0.29,0,0.91,0,0,0.07,0,0.38,0.41,0,0.03,0,0,0,0,0,0.51,0,0.46,0.22,0,0,0.54,0.08,0,1,0.06,0.4,0.84,0,0,0.28,0.27,0.97,0.83,0,0.91,0,0,0,0.63,0,0.44,0.04,0.79,0
F0018,0.77,0.37,0.51,0,0,0.85,0.02,0.12,0,0.08,0.36,0,0.04,0.22,0,0.92,0.66,0.91,0,0.79,0,0.58,0,0,0,1,0.04,0.35,0.77,0.74,0.55,0,0,0,0,0.21,0.45,0,0.64,0,0,0.88,0.27,0.92,0.37,0.99,0,0,0.19,0.72,0.72,0.69,0.24,0,0.67,0,0.29,0,0,0.51
F0019,0.56,0.2,0.96,0,0.87,0.44,0,0.48,0,0,0.24,0,0.54,0.4,0.64,0,0.93,0.55,0,0.81,0.11,0.64,0,0,0.96,0.21,0.62,0,0.3,0,0,0.57,0.13,0,0,0,0.21,0.63,0,0.97,0.39,0.24,0.17,0.09,0.04,0.17,0,0.41,1,0.16,0.72,0.43,0.41,0.39,0,0.34,0.21,0.4,0.13,0
F0020,0.82,0.33,0.89,0,0,0.09,0.01,0.4,0,0.34,0,0.81,0,0,0.09,0,0.39,0.37,0.08,0,0.91,0.74,0,0,0.95,0,0.48,0.22,0,0.78,0,0.34,0.01,0.36,0.5,0,0.65,0.19,0.53,0.2,0.12,0.72,0.61,0.57,0.69,0,0,0.81,0.26,0.63,0.95,0.87,0.74,0,0.32,0,0,0.57,0.41,0.08
F0021,0.56,0,0,0.94,0.59,0,0.1,0,0.66,0,0.89,0,0.62,0,0,1,0.36,0,0,0,0.58,0,0,0.26,0,0,0.08,0.07,0.28,0.54,0.81,0.29,0.58,0,0.89,0.23,0.3,0.48,0.44,0.94,0.92,0.35,0.19,0.39,0,0.51,0.32,0.48,0.79,0,0.29,0.15,0,0,0,0.36,0.52,0.56,0.69,0.75
F0022,0.1,0,0,0.61,0.41,0,0,0,0.56,0.69,0.94,0,0.67,0,0,0,0.97,0,0,0.14,0.61,0.32,0,0.31,0.33,0.8,0.67,0.19,0,0.05,0.27,0.25,0,0.15,0.52,0.71,0.06,0,0,0.11,0.84,0,0.35,0.86,0.63,0,0.15,0,0.88,0.53,0,0.2,0.52,0.19,0.88,0.97,0.72,0,0.98,0.71
F0023,0,0,0.94,0,0,0,0.7,0.49,0.74,0.85,0.95,0.42,0,0.75,0,0,0.18,0,0,0.9,0.68,0,0.35,0.34,0,0,0.9,0,0.7,0.56,0.77,0.94,0,0,0.35,0.06,0.16,0.11,0,0.09,0.24,0,0.73,0,0.98,0.39,0.16,0.16,0.9,0.2,0.69,0,0.23,0.17,0.55,0.18,0.1,0,0.27,0.35
F0024,0.25,0,0.56,0.36,0,0.87,0.12,0,0.82,0,0.61,0,0,0.09,0,0.09,0.82,0.52,0.84,0,0,0,0.17,0.52,0.91,0.09,0.84,0.62,0.11,0.43,0,0,0.69,0.26,0.74,0.03,0,0,0.89,0.65,0.29,0.05,0.61,0,0.95,0.75,0.16,0.64,0.96,0.93,0.34,0.38,0.26,0,0.13,0.33,0,0,0.18,0.36
F0025,0.06,0,0.61,0.66,0.23,0,0.22,0.46,0.56,0.67,0.46,0.32,0,0.72,0.3,0.27,0,0.03,0,0.73,0,0,0.39,0.64,0,0.26,0.32,0,0,0.12,0,0,0.36,0.32,0.56,0.65,0.35,0,0.98,0,0.54,0.23,0.09,0.9,0,0,0.91,0.41,0.67,0.25,0,0.47,0.34,0,0,0.85,0,0.96,0,0.92
F0026,0,0,0.22,0,0,0.76,0,0.32,0.18,0.49,0,0,0,0.29,0.71,0.15,0,0.44,0.29,0.4,0,0.06,0,0.61,0,0.16,0.27,0.63,0.02,0,0,0.3,0.26,0.38,0.84,0.66,0.57,0.45,0.67,0,0,0.99,0.97,0,0.61,0.36,0,0.33,0.32,0,0.49,0.97,0.31,0.17,0.66,0,0.31,0.29,0,0
F0027,0.81,0.43,0,0,0,0,0.79,0,0,0.4,0,0.3,0,0.15,0.03,0,0.58,0.73,0.09,0,1,0.14,0.84,0.97,0.39,0.69,0.55,0.53,0,0,0.64,0.83,0.52,0,0,0.56,0.25,0.67,0.49,0.25,0.28,0,0.66,0.88,0.8,0.27,0.58,1,0.58,0.51,0.29,0.31,0,0.3,0.08,0.02,0.27,0.84,0,0
F0028,0.02,0,0.82,0.13,0.88,0.04,0,0,0.74,0,0.49,0,0.02,0.98,0.53,0.43,0.52,0.59,0.51,0,0.29,0,0,0.83,0.65,0,0.86,0.49,0.18,0.14,0.2,0.55,0.42,0.41,0.88,0.37,0.71,0,0.85,0.52,0,0,0.22,0.2,0.27,0.56,0.53,0,0.46,0.73,0.41,0,0,0.16,0,0,0.17,0.44,0,0
F0029,0.64,0,0.79,0.41,0.76,0.44,0,0.39,0.31,0.31,0.88,0.02,0,0.57,0,0.18,0,0,0.32,0,0.09,0,0.32,0.05,0.87,0,0.88,0.65,0,0,0.49,0.42,0.1,0,0,0.39,0,0.89,0.39,0.35,0.62,0,0,0.02,0.2,0.31,0.1,0.9,0.65,0.01,0,0.67,0.76,0.14,0.76,0.91,0.57,0.81,0,0
F0030,0.02,0.25,0,0.79,0.77,0.31,0,0.36,0.67,0.93,0,0,0.83,0.14,0.79,0.82,0.48,0,0.24,0.62,0.79,0,0.14,0.41,0,0,0.6,0.04,0.31,0.04,0.25,0,0.39,0.97,0.57,0.45,0.69,0,0.95,0,0.37,0.61,0.72,0.76,0.8,0.88,0.52,0.12,0,0.03,0.91,0.46,0,0,0,0.98,0,0.73,0.85,0
F0031,0.1,0,0.03,0.03,0,0,0,0,0,0.44,0,0.45,0.24,0.5,0.27,0,0.26,0,0,0,0.3,0,0,0.76,0,0.75,0,0.03,0,0.16,0,0,0.72,0,0.92,0.41,0,0.73,0.37,0.52,0.27,0,0.68,0,0,0,0.38,0.49,0,0,0.15,0,0.87,0.64,0.72,0,0,0.48,0.83,0.26
F0032,0.56,0.56,0.38,0.79,0.11,0,0,0,0.88,0.44,0.2,0.25,0.31,0,0.66,0.57,0.81,0.52,0,0.31,0.65,0,0.29,0.59,0,0.18,0.5,0,0.18,0.18,0.66,0.23,0.73,0.35,0,0.47,0.57,0.63,0.32,0,0.39,0,0.81,0.57,0.21,0.68,0.36,0.19,0.32,0,0.84,0,0.9,0.19,0.21,0.02,0.32,0.31,0.2,0.76
F0033,0.17,0,0.81,0.61,0.95,0,0.91,0.92,0.89,0.87,0,0,0,0.64,0.82,0,0.1,0,0.03,0.29,0.64,0.13,0.73,0.08,0.21,0.25,0.37,0.89,0.65,0.46,0,0,0.22,0.95,0,0.26,0.82,0,0.66,0.7,0,0.75,0.62,0.01,0.59,0.89,0.48,0,0.04,0.72,0.24,0.71,0.5,0.16,0.75,0.86,0.28,0.91,0,0.93
F0034,0.52,0.96,0.78,0.58,0,0.19,0.62,0.82,0.49,0,0,0.43,0,0,0.49,0.08,0,0,0,0.83,0.23,0.15,0.89,0,0.48,0.84,0.08,0.21,0.83,0,0,0.37,0.48,0.58,0.29,0.8,0,0,0.5,0.5,0,0,0.75,0.8,0,0.99,0.36,0.62,0.15,0.72,0,0,0,0.29,0,0,0,0.31,0,0.48
F0035,0,0,0,0.84,0,0.86,0.73,0,0.7,0,0,0.44,0,0,0.21,0.69,0.73,0.07,0.92,0.8,0.08,0,0.66,0.86,0,0.65,0,0,0.03,0,0.46,0.61,0,0.71,0,0.01,0.81,0.62,0,0,0.85,0,0.22,0.39,0.19,0,0.16,0,0.11,0.78,0.99,0.7,0.24,0.07,0.61,0,0,0.35,0.91,0.57
F0036,0.37,0.81,0,0.48,0.45,0.2,0.58,0.82,0,0,0.87,0,0.6,0,0.91,0.59,0.46,0.28,0.28,0.47,0.62,0.8,0.79,0.15,0.67,0,0.92,0.32,0.93,0,0.52,0.16,0.28,0,0.41,0.18,0.65,0.95,0.04,0,0,0,0.17,0,0.32,0.72,0,0.64,0,0.66,0.97,0.21,0,0.53,0.39,0.11,0.47,0.47,0.77,0.28
F0037,0.31,0,0.78,0.62,0,0,0.14,0.54,0,0.82,0.91,0.62,0,0.31,0.17,0.42,0.9,0.25,0.66,0.93,0.92,0.13,0.3,0.83,0.64,0.99,0.79,0.28,0.44,0.17,0,0.46,0,0,0,0,0,0.04,0.12,0.04,0.69,0,0,0.33,0.42,0.55,0.79,0.8,0.24,0,0.38,0.78,0.45,0,0,0,0.37,0.66,0,0.73
F0038,0.8,0.74,0.59,0.82,0,0.77,0.23,0.9,0,0.65,0,0.42,0,0.07,0,0,0,0,0,0.45,0,0.6,0.2,0,0.73,0,0.69,0,0,0.28,0.67,0,0.18,0,0.63,0.6,0,0.47,0.64,0,0.85,0.9,0,0.46,0.98,0.69,0.46,0,0,0.12,0,0.71,0.94,0.42,0.98,0,0,0.92,0.56,0.45
F0039,0,0,0,0,0,0.59,0,0,0.03,0,0,0,0.07,0.5,0.12,0.35,0,0.48,0.14,0.2,0,0.26,0.43,0.88,0.68,0,0.12,0.9,0,0,0.46,0.78,0.4,0.51,0.02,0,0,0,0,0.94,0.16,0.01,0.32,0,0,0,0.77,0.21,0.44,0.03,0,0.21,0.31,0.98,0,0.69,0.65,0,0.88,0.89
F0040,0.88,0,0.8,0.42,0.98,0.16,0,0.2,0.75,0,0.64,0,0,0.91,0,0.42,0.42,0.77,0.45,0,0,0.87,0,0.83,0.1,0.02,0.31,0.18,0.12,0,0.36,0,0.48,0,0,0.09,0,0,0.27,0.93,0.96,0,0.6,0,0.62,0,0.84,0.18,0.89,0,0,0,0,0.87,0,0.26,0.87,0.29,0.58,0.24
F0041,0,0.79,0,0.56,0,0.76,0.18,0.47,0.92,0.75,0,0.57,0.46,0,0.97,0.58,0.52,0,0.79,0,0.87,0.95,0.04,0,0.9,0,0,0.9,0.57,0,0,0.44,0,0.52,0.59,0,0,0.72,0,0.99,0.65,0.66,0.45,0,0,0.44,0.56,0.57,0.82,0.47,0,0.37,0,0.27,0.52,0.26,0.25,0.1,0.31,0
F0042,0.84,0,0,0,0.31,0.79,0.37,0.37,0.82,0,0,0,0.65,0,0.89,0.65,0,0.41,0.14,0.27,0.77,0.6,0.81,0,1,0.32,0,0,0.37,0.04,0.74,0.45,0.75,0.88,0.77,0.33,0.46,0.78,0,0.03,0,0.3,0.16,0.07,0,0,0.52,0.75,0.58,0,0,0.84,0.76,0,0.58,0.13,0,0.04,0.56,0
F0043,0,0.91,0.28,0.28,0.84,0.06,0,0,0.9,0.95,0.41,1,0.24,0,0.97,0.27,0.16,0.77,0.22,0.86,0,0.1,0,0,0.28,0,0,0.48,0.55,0,0.2,0.02,0.04,0.84,0.22,0,0.42,0,0.13,0,0,0.14,0.29,0,0.49,0.7,0.53,0.53,0.41,0.47,0,0.87,0.86,0.63,0,0.49,0.85,0.41,0.06,0
F0044,0,0,0,0.14,0,0.52,0,0.59,0.2,0,0.74,0.34,0,0.96,0,0,0.08,0.27,0.75,0.39,0.89,0.82,0.13,0,0,0.4,0.44,0,0.87,0.36,0.64,0.76,0.98,0.22,0.93,0,0.69,0,0,0,0,0.2,0.56,0,0.48,0,0.09,0.62,0.94,0.73,0.96,0.39,0,0.94,0.34,0.36,0,0.99,0,0
F0045,0.94,0.17,0.02,0,0.28,0.69,0.48,0.24,0,0,0,0.88,0.41,0.57,0.59,0.01,0,0.77,0,0,0.45,0.77,0,0.32,0,0.39,0.22,0,0,0,0.99,0.26,0,0,0.62,0,0.58,0.02,0,0.45,0,0,0,0,0.79,0.34,0.56,0,0.06,0.78,0,0,0.08,0.86,0.31,0.81,0.87,0.23,0,0.27
F0046,0.49,0.78,0.65,0.25,0,0.12,0,0.42,0.05,0,0.97,0.77,0.87,0,0,0,0,0.08,0.44,0.72,0,0,0.57,0.92,0.56,0.95,0.99,0,0.28,0.44,0,0.92,0.36,0.17,0,0.25,0.44,0,0.33,0.64,0,0.41,0,0.03,0.75,0.72,0.36,0,0.49,0,0.92,0.91,0.06,0,0.38,0.71,0.27,0,0.14,0.65
F0047,0,0.57,0.13,0.75,0.26,0.57,0.55,0.55,0,0.16,0.81,0.87,0,0.11,0,0.28,0.9,0.78,0,0,0,0.46,0.58,0.73,0.25,0,0,0.3,0.52,0.71,0,0.68,0,0,0,0,0,0.06,0.87,0,0,0.33,0.05,0.77,0.76,0.87,0.31,0,0.84,0,0,0,0.73,0,0.53,0.64,0.81,0.21,0.21,0.44
F0048,0.62,0.56,0.31,0,0.87,0,0.14,0.38,0,0.71,0.31,0.04,0.65,0,0,0.47,0,0,0,0.18,0,0.92,0.23,0.98,0.8,0,0.23,0,0.54,0.86,0.52,0,0,0.59,0.09,0,0.62,0.79,0.48,0.79,0,0.45,0.18,0.69,0,0.41,0,0.22,0.81,0.61,0,0.86,0,0.66,0.03,0,0.68,0,0.81,0.85
F0049,0,0.91,0.47,0.65,0,0.11,0,0,0,0.41,0.99,0.85,0,0.56,0,0.2,0.64,0,0,0,0.29,0.74,0.33,0.63,0,0,0.81,0.28,0,0,0.36,0,0.94,0.46,0.34,0.1,0,0,0.45,0.66,0.88,0.47,0.43,0,0.66,0.07,0.67,0.65,0.81,0,0.02,0.41,0.65,0.86,0,0.17,0.67,0,0,0.95
F0050,0.03,0,0,0.28,0,0,0.8,0.66,0.62,0,0,0.9,0.79,0.03,0.57,0.12,0.47,0,0.69,0.25,0,0.17,0.56,0.99,0.78,0.08,0.52,0.14,0,0.95,0.26,0.94,0,0.44,0.93,0.32,0.84,0.88,0.72,0,0,0.93,0.01,0,0.32,0,0.39,0,0.6,0.87,0,0.71,0,0,0.35,0.15,0.06,0,0.96,0.48
F0051,0.36,0.26,0,0,0.01,0.87,0.93,0.85,0,0.74,0.91,0.37,0.83,0.98,0.22,0,0.94,0,0.58,0.58,0,0.12,0.86,0.36,0.37,0.72,0.14,0,0.85,0.67,0.08,0,0.05,0.04,0.91,0.32,0.89,0,0,0,0.23,0.46,0.22,0,0,0.61,0,0.85,0,0.2,0.78,0.49,0.07,0,0,0,0.51,0.32,0.74,0.98
F0052,0,0.91,0.19,0.38,0.29,0.64,0,0.89,0,0,0.25,0.9,0.34,0.85,0.06,0.53,0.91,0,0.19,0.25,0.75,0.69,0.04,0,0,0.74,0,0,0.06,0.59,0.63,0,0,0.05,0.28,0.45,0,0,0,0,0,0.67,0,0.08,0.32,0.14,0,0.4,0.21,0.39,0.51,0,0,0,0.94,0.51,0,0,0,0.34
F0053,0.94,0.81,0,0.58,0.51,0,0.99,0,0.5,0,0,0.7,0.72,0.95,0.54,0.59,0.49,0,0.6,0.95,0.33,0,0,0,0,0.58,0.82,0.52,0.59,0.56,0.09,0,0.81,0.08,0.64,0,0.91,0.84,0,0.82,0.52,0,0.84,0.18,0,0.4,0.56,0.42,0.75,0,0,0.05,0.1,0.39,0.62,0,0,0.89,0.61,0
F0054,0,0.8,0.5,0.86,0.74,0.83,0,0.92,0.36,0.27,0.54,0,0.28,0,0.11,0.48,0,0.98,0,0.32,0,0.68,0,0,0.51,0.19,0.75,0.31,0,0.52,0,0.06,0.86,0.9,0,0,0,0,0.48,0,0,0,0.54,0.61,0,0,0,0,0.18,0.26,0.48,0.89,0.12,0.71,0,0,0.44,0,0.35,0.17
F0055,0.54,0.07,0,0.54,0.14,0,0.55,0.12,0.8,0,0.09,0,0.44,0.08,0,0.13,0.59,0.46,0.93,0.67,0.82,0.84,0,0.32,0,0.67,0.59,0.41,0,0.23,0.52,0.87,0,0,0,0.31,0,0,0.12,0.04,0.06,0.94,0,0.65,0,0.06,0,0.81,0.83,0.25,0.45,0,0.91,0,0.83,0.97,0,0,0,0.21
F0056,0.6,0.89,0.81,0.57,0.75,0.65,0.78,0.13,0,0.32,0.19,0.63,0,0,0,0,0.25,0.03,0.47,0,0.74,0,0.39,0,0,0.32,0.62,0.81,0,0.46,0,0,0.78,0,0.05,0,0.08,0,0.38,0.18,0.97,0,0,0,0.99,0.01,0,0.12,0.71,0,0,0.06,0.71,0.71,0.99,0,0.03,0.04,0.83,0
F0057,0.06,0.66,0.74,0.99,0.21,0.32,0,0,0.69,0,0,0.37,0.8,0,0.82,0.95,0.06,0,0,0,0.81,0.29,0,0.9,0.08,0.84,0.41,0,0.91,0.95,0,0.57,0,0.35,0.8,0.07,0.34,0,0,0.1,0.45,0.14,0.27,0.93,0.56,0.09,0.23,0,0.03,0,0.37,0.46,0.61,0.71,0.03,0,0,0,0.68,0
F0058,0.11,0.77,0,0.7,0.21,0,0,0.9,0.05,0.97,0,0,0.58,0.99,0.83,0.89,0,0.02,0,0.33,0,0,0.71,0.16,0.21,0.08,0,0.19,0.72,0,0,0.64,0.3,0.3,0,0.7,0.38,0.05,0.36,0.12,0.66,0.85,0.64,0.68,0.24,0,0,0.57,0.33,0.69,0.16,0.33,0,0.97,0,0,0.55,0.75,0.68,0.27
F0059,0.58,0.27,0,0.82,0.06,0.67,0.96,0,0,0,0.96,0.21,0,0,0.74,0.76,0.92,0,0.25,0.18,0.43,0,0.82,0,0.15,0,0.73,0,0,0.62,0,0.78,0.92,0.39,0,0.46,0.6,0.81,0.32,0.65,0.39,0.77,0.87,0.91,0.21,0,0.39,0.09,0.24,0,0,0,0.82,0.18,0.45,0.29,0.98,0.14,0,0.17
F0060,0.9,0.23,0.77,0,0.07,0,0,0.81,0,0.29,0,0.08,0.43,0,0.29,0.98,0,0.49,0.24,0.7,0,0.3,0,0.35,0,0.55,0.84,0,0.14,0.04,0.3,0,0.59,0.71,0.42,0,0,0.98,0.94,0.07,0.56,0.76,0.22,0.8,0.97,0,0,0,0.58,0,0.17,0.79,0.05,0.44,0.4,0,0.32,0,0,0
F0061,1,0.21,0,0.58,0.58,0.3,0,0.51,0.2,0,0,0,0.93,0,0.36,0.46,0.17,0.29,0.26,0.77,0.19,0.59,0.61,0,0.35,0.98,0.63,0.67,0,0.47,0.85,0.98,0,0.17,0.27,0.75,0.13,0.18,0.5,0.93,0.91,0,0,0.15,0.16,0,0.3,0.08,0.77,0.09,0.09,0.41,0,0.57,0.75,0.99,0.62,0.83,0,0.17
F0062,0.69,0.41,0.46,0.4,0,0,0,0,0,0.51,0.49,0.85,0.66,0.76,0.04,0.48,0.05,0.83,0.85,0.09,0,0.74,0.15,0,0.24,0,0.28,0,0.05,0.37,0,0.64,0.35,0.61,0.5,0.37,0.71,0,0.56,0,0.78,0.3,0.07,0.39,0.82,0,0.45,0.05,0,0,0,0,0,0.89,0.24,0,0.66,0,0.06,0
F0063,0,0.77,0,0.06,0.86,0.33,0,0.94,0,0.77,0.17,0.45,0.64,0,0.14,0.27,0,0,0,0,0.58,0.65,0.43,0,0,0.18,0.05,0.28,0.08,0,0.04,0,0,0.75,0.85,0,0.98,0,0,0.71,0,0,0,0,0.13,0.02,0.35,0,0.27,0,0.85,0.94,0.84,0,0.96,0.47,0.86,0,0.94,0.26
F0064,0.28,0.04,0,0.38,0.5,0.07,0,0,0.1,0.72,0.51,0.51,0.29,1,0.06,0.6,0,0.96,0,0.82,0.92,0.63,0.51,0,0.69,0.62,0.84,0.13,0,0,0,0.56,0.65,0.25,0.41,0,0.75,0,0,0,0,0,0,0.38,0,0.79,0.22,0,0.18,0.5,0.27,0.27,0,0,0,0.91,0,0.69,0.24,0.12
F0065,0.33,0,0,0.5,0,0,0.21,0,0,0.34,0.69,0,0.91,0.35,0,0,0,0,0.72,0.95,0.36,0.88,0,0,0,0,0,0.62,0,0.89,0.52,0.32,0,0,0.62,0.89,0.02,0,0.64,0,0,0.83,0.33,0.3,0.8,0,0.76,0.67,0.92,0,0.66,0.5,0.31,0.72,0.2,0.62,0.39,0.7,0.22,0.5
F0066,0,0,0,0.85,0,0.09,0,0,0,0,0.02,0.96,0.92,0.25,0.07,0,0,0.56,0.97,0.05,0.31,0.38,0.5,0.06,0,0,0.81,0.21,0.95,0.63,0,0.27,0.51,0,0,0.44,0,0.64,0.36,0,0.35,0.63,0.06,0.57,0.32,0,0,0.79,0.94,0,0.4,0.14,0,0.85,0,0.89,0,0.84,0,0
