sampling_area,month,region,habitat,season,sex,class,species,unique_id
Area_08,avril,plains,river,Autumn,M,L-5,Hoplias_malabaricus,F0027
Area_02,septembre,plains,estuary,Autumn,F,K-4,Hoplias_malabaricus,F0028
Area_07,septembre,valley,marine,Summer,M,L-5,Prochilodus_lineatus,F0029
Area_02,octobre,plains,estuary,Winter,F,J-3,Pimelodus_maculatus,F0030
Area_01,avril,pothole,sky,Autumn,F,M-6,Pimelodus_maculatus,F0031
Area_06,mai,montain,sky,Autumn,M,N-7,Cichla_ocellaris,F0032
Area_03,novembre,montain,marine,Winter,M,I-2,Astyanax_fasciatus,F0033
Area_04,septembre,montain,fast-stream,Autumn,F,L-5,Pimelodus_maculatus,F0034
Area_06,mars,montain,marine,Winter,M,L-5,Rhamdia_quelen,F0035
Area_01,mars,montain,marine,Summer,F,J-3,Leporinus_friderici,F0036
Area_03,fevrier,plains,fast-stream,Autumn,M,J-3,Rhamdia_quelen,F0037
Area_07,juillet,pothole,fast-stream,Spring,M,H-1,Astyanax_fasciatus,F0038
Area_05,decembre,montain,river,Spring,F,N-7,Pimelodus_maculatus,F0039
Area_04,janvier,valley,estuary,Winter,F,N-7,Rhamdia_quelen,F0040
Area_07,mars,montain,sky,Summer,M,M-6,Leporinus_friderici,F0041
Area_08,juillet,valley,slow-stream,Autumn,M,L-5,Cichla_ocellaris,F0042
Area_02,fevrier,pothole,slow-stream,Spring,F,H-1,Leporinus_friderici,F0043
Area_05,septembre,pothole,estuary,Autumn,M,M-6,Astyanax_fasciatus,F0044
Area_07,mai,plains,marine,Winter,M,K-4,Hoplias_malabaricus,F0045
Area_01,janvier,valley,lake,Spring,M,J-3,Prochilodus_lineatus,F0046
Area_01,octobre,pothole,marine,Summer,M,N-7,Rhamdia_quelen,F0047
Area_02,septembre,montain,lake,Autumn,M,K-4,Prochilodus_lineatus,F0048
Area_07,septembre,valley,sky,Winter,M,M-6,Astyanax_fasciatus,F0049
Area_03,juillet,plains,fast-stream,Spring,M,M-6,Rhamdia_quelen,F0050
Area_04,fevrier,montain,river,Autumn,F,L-5,Leporinus_friderici,F0051
Area_05,decembre,valley,estuary,Spring,F,K-4,Geophagus_brasiliensis,F0052
Area_07,aout,plains,slow-stream,Summer,F,N-7,Geophagus_brasiliensis,F0053
Area_05,juillet,valley,sky,Spring,F,K-4,Geophagus_brasiliensis,F0054
Area_03,juin,valley,fast-stream,Winter,F,K-4,Cichla_ocellaris,F0055
Area_08,juillet,plains,marine,Autumn,F,J-3,Astyanax_fasciatus,F0056
Area_06,octobre,montain,fast-stream,Spring,F,N-7,Prochilodus_lineatus,F0057
Area_01,fevrier,pothole,slow-stream,Autumn,F,I-2,Prochilodus_lineatus,F0058
Area_02,fevrier,montain,river,Summer,F,M-6,Geophagus_brasiliensis,F0059
Area_05,decembre,montain,estuary,Autumn,F,K-4,Geophagus_brasiliensis,F0060
Area_05,mai,plains,sky,Spring,F,K-4,Leporinus_friderici,F0061
Area_08,juillet,pothole,marine,Winter,M,N-7,Rhamdia_quelen,F0062
Area_04,octobre,montain,estuary,Spring,F,I-2,Leporinus_friderici,F0063
Area_07,novembre,plains,slow-stream,Autumn,M,J-3,Rhamdia_quelen,F0064
Area_05,septembre,montain,river,Spring,F,K-4,Rhamdia_quelen,F0065
Area_02,juillet,plains,river,Spring,M,K-4,Prochilodus_lineatus,F0066
Area_01,juin,pothole,marine,Autumn,M,J-3,Prochilodus_lineatus,F0067
Area_01,avril,valley,marine,Winter,F,H-1,Cichla_ocellaris,F0068
Area_03,mars,valley,river,Spring,M,M-6,Hoplias_malabaricus,F0069
Area_01,novembre,valley,estuary,Spring,F,L-5,Leporinus_friderici,F0070
Area_06,mars,pothole,marine,Autumn,F,I-2,Astyanax_fasciatus,F0071
Area_05,octobre,montain,estuary,Winter,M,M-6,Astyanax_fasciatus,F0072
Area_07,decembre,montain,river,Summer,F,N-7,Geophagus_brasiliensis,F0073
Area_01,decembre,plains,marine,Winter,F,J-3,Pimelodus_maculatus,F0074
Area_07,fevrier,montain,estuary,Winter,F,K-4,Hoplias_malabaricus,F0075
Area_02,mars,plains,fast-stream,Autumn,F,I-2,Pimelodus_maculatus,F0076
Area_04,janvier,montain,estuary,Summer,F,L-5,Geophagus_brasiliensis,F0077
Area_07,decembre,montain,marine,Spring,F,K-4,Hoplias_malabaricus,F0078
Area_08,janvier,montain,marine,Winter,F,N-7,Pimelodus_maculatus,F0079
Area_04,janvier,plains,sky,Winter,M,M-6,Hoplias_malabaricus,F0080
Area_06,avril,plains,estuary,Winter,M,N-7,Geophagus_brasiliensis,F0081
Area_06,mars,pothole,fast-stream,Winter,M,H-1,Cichla_ocellaris,F0082
Area_03,fevrier,pothole,sky,Summer,F,K-4,Hoplias_malabaricus,F0083
Area_08,juillet,pothole,river,Winter,F,I-2,Cichla_ocellaris,F0084
Area_06,fevrier,valley,marine,Summer,F,I-2,Prochilodus_lineatus,F0085
Area_06,decembre,pothole,marine,Spring,M,H-1,Hoplias_malabaricus,F0086
Area_07,fevrier,valley,river,Spring,M,N-7,Prochilodus_lineatus,F0087
Area_07,juillet,pothole,fast-stream,Spring,F,L-5,Pimelodus_maculatus,F0088
Area_08,octobre,valley,river,Winter,M,M-6,Rhamdia_quelen,F0089
Area_01,avril,montain,estuary,Autumn,M,I-2,Leporinus_friderici,F0090
Area_06,avril,montain,lake,Spring,M,M-6,Cichla_ocellaris,F0091
Area_02,aout,plains,river,Autumn,F,K-4,Prochilodus_lineatus,F0092
Area_01,septembre,montain,river,Spring,M,N-7,Cichla_ocellaris,F0093
Area_02,mars,pothole,fast-stream,Winter,M,M-6,Astyanax_fasciatus,F0094
Area_04,septembre,montain,sky,Summer,F,L-5,Geophagus_brasiliensis,F0095
Area_05,novembre,montain,marine,Spring,M,H-1,Pimelodus_maculatus,F0096
Area_05,mars,pothole,slow-stream,Autumn,M,J-3,Pimelodus_maculatus,F0097
Area_06,novembre,plains,slow-stream,Autumn,F,N-7,Cichla_ocellaris,F0098
Area_07,juin,montain,marine,Winter,M,K-4,Leporinus_friderici,F0099
Area_03,mai,montain,marine,Winter,M,M-6,Geophagus_brasiliensis,F0100
Area_01,fevrier,montain,sky,Summer,F,N-7,Leporinus_friderici,F0101
Area_04,juin,montain,fast-stream,Summer,M,K-4,Rhamdia_quelen,F0102
Area_06,janvier,valley,sky,Summer,F,M-6,Hoplias_malabaricus,F0103
Area_01,mai,plains,lake,Summer,M,L-5,Hoplias_malabaricus,F0104
Area_08,mars,plains,river,Autumn,M,H-1,Geophagus_brasiliensis,F0105
Area_06,mars,montain,slow-stream,Winter,M,L-5,Rhamdia_quelen,F0106
Area_01,mars,pothole,slow-stream,Autumn,M,I-2,Geophagus_brasiliensis,F0107
Area_07,novembre,plains,lake,Winter,F,N-7,Astyanax_fasciatus,F0108
Area_03,juin,pothole,slow-stream,Autumn,M,K-4,Rhamdia_quelen,F0109
Area_08,septembre,plains,slow-stream,Spring,F,L-5,Rhamdia_quelen,F0110
Area_08,novembre,montain,sky,Winter,M,L-5,Cichla_ocellaris,F0111
Area_06,mars,valley,river,Summer,F,J-3,Hoplias_malabaricus,F0112
Area_04,fevrier,valley,river,Winter,M,M-6,Pimelodus_maculatus,F0113
Area_07,mai,plains,estuary,Summer,F,H-1,Prochilodus_lineatus,F0114
Area_01,mai,pothole,slow-stream,Autumn,M,M-6,Prochilodus_lineatus,F0115
Area_06,juillet,valley,estuary,Autumn,M,J-3,Geophagus_brasiliensis,F0116
Area_06,fevrier,plains,fast-stream,Summer,M,M-6,Geophagus_brasiliensis,F0117
Area_08,aout,montain,estuary,Winter,M,N-7,Rhamdia_quelen,F0118
Area_03,juillet,montain,marine,Autumn,F,N-7,Rhamdia_quelen,F0119
Area_06,juillet,valley,lake,Summer,M,M-6,Leporinus_friderici,F0120
Area_05,aout,pothole,estuary,Summer,M,M-6,Cichla_ocellaris,F0121
Area_08,mai,plains,marine,Autumn,F,I-2,Leporinus_friderici,F0122
Area_07,fevrier,plains,fast-stream,Summer,F,K-4,Geophagus_brasiliensis,F0123
Area_03,mars,pothole,fast-stream,Spring,F,L-5,Hoplias_malabaricus,F0124
Area_07,septembre,pothole,sky,Spring,M,J-3,Geophagus_brasiliensis,F0125
Area_06,mars,valley,marine,Winter,M,I-2,Hoplias_malabaricus,F0126
Area_02,mars,valley,fast-stream,Spring,F,I-2,Astyanax_fasciatus,F0127
Area_07,mai,pothole,estuary,Spring,F,K-4,Hoplias_malabaricus,F0128
Area_05,juillet,valley,river,Autumn,F,I-2,Hoplias_malabaricus,F0129
Area_05,aout,plains,sky,Autumn,F,I-2,Hoplias_malabaricus,F0130
Area_08,octobre,pothole,slow-stream,Winter,F,L-5,Geophagus_brasiliensis,F0131
Area_03,avril,montain,estuary,Summer,F,H-1,Leporinus_friderici,F0132
Area_02,mars,plains,river,Spring,M,N-7,Astyanax_fasciatus,F0133
Area_02,juillet,montain,slow-stream,Autumn,M,N-7,Rhamdia_quelen,F0134
Area_02,aout,valley,lake,Winter,F,N-7,Cichla_ocellaris,F0135
Area_04,janvier,pothole,lake,Autumn,M,I-2,Cichla_ocellaris,F0136
Area_02,juillet,valley,sky,Winter,M,N-7,Leporinus_friderici,F0137
Area_02,septembre,plains,lake,Winter,F,L-5,Rhamdia_quelen,F0138
Area_06,mars,montain,marine,Autumn,F,H-1,Pimelodus_maculatus,F0139
Area_07,octobre,pothole,marine,Autumn,F,M-6,Astyanax_fasciatus,F0140
Area_04,juin,montain,river,Autumn,M,M-6,Rhamdia_quelen,F0141
Area_04,avril,pothole,lake,Winter,M,L-5,Hoplias_malabaricus,F0142
Area_06,septembre,montain,fast-stream,Summer,F,M-6,Astyanax_fasciatus,F0143
Area_01,mai,pothole,river,Spring,M,M-6,Geophagus_brasiliensis,F0144
Area_06,septembre,valley,fast-stream,Spring,M,J-3,Hoplias_malabaricus,F0145
Area_06,septembre,plains,marine,Autumn,M,L-5,Astyanax_fasciatus,F0146
Area_06,mai,valley,marine,Summer,F,K-4,Astyanax_fasciatus,F0147
Area_03,juin,montain,marine,Winter,M,K-4,Astyanax_fasciatus,F0148
Area_08,juin,valley,marine,Summer,M,M-6,Pimelodus_maculatus,F0149
Area_06,decembre,pothole,river,Summer,M,I-2,Geophagus_brasiliensis,F0150
Area_03,juin,montain,marine,Summer,M,N-7,Prochilodus_lineatus,F0151
Area_06,aout,plains,fast-stream,Winter,M,K-4,Astyanax_fasciatus,F0152
Area_07,avril,valley,marine,Summer,F,L-5,Geophagus_brasiliensis,F0153
Area_08,aout,pothole,sky,Summer,M,I-2,Hoplias_malabaricus,F0154
Area_01,juillet,plains,marine,Summer,F,M-6,Astyanax_fasciatus,F0155
Area_07,juillet,pothole,estuary,Summer,F,M-6,Pimelodus_maculatus,F0156
Area_03,mai,valley,fast-stream,Winter,M,M-6,Rhamdia_quelen,F0157
Area_07,aout,montain,sky,Summer,F,H-1,Cichla_ocellaris,F0158
Area_05,janvier,valley,marine,Autumn,M,N-7,Rhamdia_quelen,F0159
Area_07,juillet,pothole,lake,Summer,F,N-7,Astyanax_fasciatus,F0160
Area_07,octobre,valley,slow-stream,Winter,F,L-5,Pimelodus_maculatus,F0161
Area_02,juillet,plains,sky,Autumn,M,I-2,Rhamdia_quelen,F0162
Area_06,mai,valley,fast-stream,Winter,F,J-3,Geophagus_brasiliensis,F0163
Area_06,janvier,valley,lake,Autumn,M,I-2,Hoplias_malabaricus,F0164
Area_07,juillet,pothole,river,Winter,F,H-1,Cichla_ocellaris,F0165
Area_08,juillet,montain,marine,Spring,F,J-3,Pimelodus_maculatus,F0166
Area_07,decembre,valley,marine,Summer,M,K-4,Rhamdia_quelen,F0167
Area_03,mars,montain,lake,Spring,F,M-6,Rhamdia_quelen,F0168
Area_02,decembre,pothole,lake,Winter,F,N-7,Hoplias_malabaricus,F0169
Area_05,mars,valley,sky,Autumn,F,L-5,Cichla_ocellaris,F0170
Area_06,septembre,plains,river,Summer,F,J-3,Pimelodus_maculatus,F0171
Area_08,janvier,pothole,marine,Spring,F,J-3,Pimelodus_maculatus,F0172
Area_08,septembre,plains,estuary,Spring,M,K-4,Astyanax_fasciatus,F0173
Area_08,juillet,pothole,marine,Autumn,F,N-7,Cichla_ocellaris,F0174
Area_05,juin,valley,sky,Spring,M,M-6,Rhamdia_quelen,F0175
Area_07,janvier,montain,marine,Winter,M,I-2,Prochilodus_lineatus,F0176
Area_03,decembre,montain,river,Summer,M,I-2,Leporinus_friderici,F0177
Area_04,aout,pothole,fast-stream,Summer,M,M-6,Prochilodus_lineatus,F0178
Area_04,mai,valley,sky,Autumn,F,N-7,Geophagus_brasiliensis,F0179
Area_06,octobre,plains,sky,Winter,M,K-4,Rhamdia_quelen,F0180
Area_04,septembre,pothole,slow-stream,Winter,F,N-7,Pimelodus_maculatus,F0181
Area_05,decembre,montain,lake,Winter,M,J-3,Rhamdia_quelen,F0182
Area_03,mai,valley,lake,Spring,M,K-4,Pimelodus_maculatus,F0183
Area_01,mars,plains,fast-stream,Summer,M,J-3,Astyanax_fasciatus,F0184
Area_07,janvier,plains,lake,Summer,F,N-7,Pimelodus_maculatus,F0185
Area_06,juin,plains,lake,Spring,M,K-4,Rhamdia_quelen,F0186
Area_02,decembre,valley,river,Spring,F,M-6,Pimelodus_maculatus,F0187
Area_01,avril,pothole,lake,Spring,F,I-2,Prochilodus_lineatus,F0188
Area_07,aout,plains,slow-stream,Spring,F,M-6,Geophagus_brasiliensis,F0189
Area_02,septembre,valley,sky,Summer,F,H-1,Pimelodus_maculatus,F0190
Area_08,septembre,plains,lake,Spring,F,L-5,Geophagus_brasiliensis,F0191
Area_05,aout,montain,sky,Winter,F,M-6,Rhamdia_quelen,F0192
Area_03,novembre,montain,estuary,Summer,F,H-1,Hoplias_malabaricus,F0193
Area_08,juillet,montain,marine,Autumn,F,I-2,Leporinus_friderici,F0194
Area_04,avril,pothole,lake,Summer,M,L-5,Leporinus_friderici,F0195
Area_07,aout,plains,slow-stream,Winter,F,H-1,Rhamdia_quelen,F0196
Area_07,mai,valley,lake,Winter,M,I-2,Pimelodus_maculatus,F0197
Area_04,janvier,valley,estuary,Autumn,M,J-3,Rhamdia_quelen,F0198
Area_01,janvier,valley,fast-stream,Summer,M,K-4,Hoplias_malabaricus,F0199
Area_08,mai,pothole,marine,Summer,M,H-1,Prochilodus_lineatus,F0200
Area_06,mars,pothole,estuary,Spring,F,K-4,Geophagus_brasiliensis,F0201
Area_06,avril,plains,estuary,Summer,F,M-6,Rhamdia_quelen,F0202
Area_04,mars,plains,sky,Summer,M,J-3,Prochilodus_lineatus,F0203
Area_01,fevrier,montain,sky,Summer,M,L-5,Astyanax_fasciatus,F0204
Area_08,octobre,pothole,slow-stream,Spring,M,M-6,Leporinus_friderici,F0205
Area_08,decembre,plains,lake,Summer,F,K-4,Astyanax_fasciatus,F0206
Area_06,mars,valley,marine,Summer,F,L-5,Pimelodus_maculatus,F0207
Area_03,octobre,montain,marine,Summer,F,N-7,Rhamdia_quelen,F0208
Area_08,decembre,plains,fast-stream,Autumn,M,M-6,Leporinus_friderici,F0209
Area_04,decembre,valley,estuary,Spring,F,J-3,Geophagus_brasiliensis,F0210
Area_08,mai,montain,fast-stream,Autumn,M,J-3,Rhamdia_quelen,F0211
Area_03,aout,valley,sky,Spring,M,I-2,Pimelodus_maculatus,F0212
Area_05,janvier,valley,slow-stream,Spring,F,M-6,Prochilodus_lineatus,F0213
Area_04,mai,valley,marine,Spring,M,K-4,Geophagus_brasiliensis,F0214
Area_04,mars,montain,marine,Autumn,F,I-2,Pimelodus_maculatus,F0215
Area_04,juin,montain,marine,Winter,F,L-5,Rhamdia_quelen,F0216
Area_06,fevrier,valley,marine,Spring,M,H-1,Leporinus_friderici,F0217
Area_01,janvier,plains,slow-stream,Autumn,M,H-1,Prochilodus_lineatus,F0218
Area_02,juillet,pothole,marine,Summer,M,H-1,Geophagus_brasiliensis,F0219
Area_03,janvier,valley,river,Autumn,F,M-6,Pimelodus_maculatus,F0220
Area_04,aout,montain,fast-stream,Winter,F,M-6,Pimelodus_maculatus,F0221
Area_03,mars,montain,marine,Winter,F,K-4,Rhamdia_quelen,F0222
Area_01,fevrier,pothole,river,Autumn,M,L-5,Rhamdia_quelen,F0223
Area_07,octobre,pothole,lake,Winter,F,N-7,Rhamdia_quelen,F0224
Area_08,mars,pothole,fast-stream,Winter,M,J-3,Leporinus_friderici,F0225
Area_06,mai,montain,fast-stream,Autumn,F,K-4,Leporinus_friderici,F0226
Area_05,decembre,montain,river,Spring,F,I-2,Cichla_ocellaris,F0227
Area_05,aout,montain,slow-stream,Autumn,F,M-6,Geophagus_brasiliensis,F0228
Area_02,janvier,pothole,sky,Spring,M,M-6,Pimelodus_maculatus,F0229
Area_03,fevrier,valley,slow-stream,Autumn,F,H-1,Cichla_ocellaris,F0230
Area_05,avril,valley,fast-stream,Summer,M,K-4,Rhamdia_quelen,F0231
Area_06,juillet,pothole,river,Winter,M,I-2,Prochilodus_lineatus,F0232
Area_06,mai,pothole,sky,Autumn,F,L-5,Leporinus_friderici,F0233
Area_01,octobre,valley,slow-stream,Summer,F,N-7,Prochilodus_lineatus,F0234
Area_08,avril,pothole,lake,Spring,F,H-1,Geophagus_brasiliensis,F0235
Area_04,aout,valley,river,Spring,M,K-4,Prochilodus_lineatus,F0236
Area_08,janvier,plains,fast-stream,Autumn,M,K-4,Prochilodus_lineatus,F0237
Area_02,mai,valley,river,Autumn,M,H-1,Cichla_ocellaris,F0238
Area_04,juillet,valley,marine,Spring,M,H-1,Prochilodus_lineatus,F0239
Area_05,juin,montain,lake,Spring,F,M-6,Pimelodus_maculatus,F0240
Area_05,decembre,montain,river,Summer,F,K-4,Hoplias_malabaricus,F0241
Area_06,octobre,pothole,river,Autumn,M,H-1,Astyanax_fasciatus,F0242
Area_05,decembre,plains,estuary,Autumn,M,H-1,Cichla_ocellaris,F0243
Area_08,janvier,montain,marine,Winter,M,N-7,Hoplias_malabaricus,F0244
Area_07,octobre,valley,slow-stream,Winter,F,J-3,Astyanax_fasciatus,F0245
Area_05,juillet,plains,river,Spring,F,H-1,Hoplias_malabaricus,F0246
Area_01,fevrier,montain,marine,Summer,M,N-7,Cichla_ocellaris,F0247
Area_08,octobre,valley,river,Summer,M,L-5,Astyanax_fasciatus,F0248
Area_08,mai,montain,lake,Spring,F,J-3,Hoplias_malabaricus,F0249
Area_02,mars,montain,marine,Summer,M,N-7,Prochilodus_lineatus,F0250
Area_01,fevrier,valley,marine,Spring,M,M-6,Leporinus_friderici,F0251
Area_08,juin,pothole,marine,Winter,F,N-7,Rhamdia_quelen,F0252
Area_02,fevrier,pothole,marine,Spring,F,J-3,Geophagus_brasiliensis,F0253
Area_05,mars,valley,sky,Autumn,M,J-3,Cichla_ocellaris,F0254
Area_05,mars,plains,marine,Spring,F,I-2,Hoplias_malabaricus,F0255
Area_01,novembre,pothole,marine,Spring,F,M-6,Hoplias_malabaricus,F0256
Area_07,avril,montain,lake,Autumn,M,N-7,Geophagus_brasiliensis,F0257
Area_07,septembre,pothole,fast-stream,Summer,M,L-5,Rhamdia_quelen,F0258
Area_02,mai,valley,slow-stream,Autumn,M,M-6,Hoplias_malabaricus,F0259
Area_05,fevrier,valley,lake,Winter,F,H-1,Pimelodus_maculatus,F0260
Area_04,septembre,plains,lake,Spring,M,J-3,Cichla_ocellaris,F0261
Area_02,janvier,pothole,sky,Summer,F,N-7,Rhamdia_quelen,F0262
Area_08,juillet,valley,marine,Spring,M,J-3,Astyanax_fasciatus,F0263
Area_07,janvier,pothole,lake,Winter,F,N-7,Geophagus_brasiliensis,F0264
Area_06,juin,pothole,sky,Spring,F,I-2,Geophagus_brasiliensis,F0265
Area_07,janvier,valley,marine,Autumn,M,J-3,Leporinus_friderici,F0266
Area_02,juin,valley,slow-stream,Autumn,M,H-1,Hoplias_malabaricus,F0267
Area_03,aout,montain,marine,Winter,M,K-4,Cichla_ocellaris,F0268
Area_01,octobre,plains,lake,Spring,M,L-5,Cichla_ocellaris,F0269
Area_01,decembre,valley,lake,Spring,F,N-7,Cichla_ocellaris,F0270
Area_05,fevrier,pothole,fast-stream,Autumn,M,M-6,Geophagus_brasiliensis,F0271
Area_05,mai,valley,river,Spring,M,H-1,Astyanax_fasciatus,F0272
Area_03,octobre,plains,river,Winter,M,M-6,Hoplias_malabaricus,F0273
Area_02,fevrier,valley,marine,Winter,F,H-1,Pimelodus_maculatus,F0274
Area_05,mai,montain,river,Winter,M,N-7,Astyanax_fasciatus,F0275
Area_06,decembre,montain,fast-stream,Autumn,M,N-7,Rhamdia_quelen,F0276
Area_05,mars,pothole,river,Summer,M,H-1,Rhamdia_quelen,F0277
Area_03,juin,valley,marine,Autumn,M,M-6,Geophagus_brasiliensis,F0278
Area_03,juin,plains,marine,Winter,M,H-1,Pimelodus_maculatus,F0279
Area_01,novembre,plains,marine,Winter,F,K-4,Pimelodus_maculatus,F0280
Area_04,decembre,montain,fast-stream,Spring,M,K-4,Cichla_ocellaris,F0281
Area_02,septembre,montain,estuary,Summer,M,J-3,Geophagus_brasiliensis,F0282
Area_07,juin,montain,estuary,Summer,M,J-3,Geophagus_brasiliensis,F0283
Area_01,avril,pothole,slow-stream,Winter,M,I-2,Prochilodus_lineatus,F0284
Area_07,fevrier,pothole,slow-stream,Autumn,M,I-2,Prochilodus_lineatus,F0285
Area_02,juillet,valley,lake,Summer,F,K-4,Geophagus_brasiliensis,F0286
Area_08,septembre,pothole,estuary,Spring,M,L-5,Leporinus_friderici,F0287
Area_04,novembre,montain,lake,Summer,M,M-6,Cichla_ocellaris,F0288
Area_05,decembre,montain,marine,Winter,F,M-6,Hoplias_malabaricus,F0289
Area_08,avril,valley,estuary,Spring,M,K-4,Astyanax_fasciatus,F0290
Area_01,janvier,plains,sky,Autumn,M,H-1,Geophagus_brasiliensis,F0291
Area_01,decembre,valley,marine,Winter,F,H-1,Hoplias_malabaricus,F0292
Area_01,aout,plains,river,Autumn,F,J-3,Geophagus_brasiliensis,F0293
Area_05,decembre,valley,marine,Summer,F,N-7,Leporinus_friderici,F0294
Area_07,mars,valley,river,Winter,M,N-7,Prochilodus_lineatus,F0295
Area_06,septembre,valley,estuary,Winter,M,L-5,Rhamdia_quelen,F0296
Area_06,decembre,montain,slow-stream,Autumn,M,J-3,Rhamdia_quelen,F0297
Area_06,juin,pothole,fast-stream,Autumn,M,L-5,Cichla_ocellaris,F0298
Area_03,mars,pothole,lake,Summer,M,N-7,Cichla_ocellaris,F0299
Area_01,decembre,plains,marine,Winter,F,L-5,Cichla_ocellaris,F0300
Area_02,decembre,valley,estuary,Spring,F,H-1,Geophagus_brasiliensis,F0301
Area_02,decembre,montain,fast-stream,Autumn,M,I-2,Rhamdia_quelen,F0302
Area_01,novembre,valley,sky,Autumn,M,H-1,Cichla_ocellaris,F0303
Area_02,mars,valley,lake,Winter,M,L-5,Hoplias_malabaricus,F0304
Area_01,novembre,valley,lake,Spring,M,H-1,Astyanax_fasciatus,F0305
Area_05,avril,montain,slow-stream,Spring,F,I-2,Prochilodus_lineatus,F0306
Area_02,juin,pothole,river,Winter,M,M-6,Geophagus_brasiliensis,F0307
Area_03,novembre,valley,marine,Summer,F,I-2,Prochilodus_lineatus,F0308
Area_05,novembre,montain,sky,Spring,M,J-3,Hoplias_malabaricus,F0309
Area_07,fevrier,valley,estuary,Summer,M,N-7,Geophagus_brasiliensis,F0310
Area_04,juillet,pothole,sky,Summer,M,N-7,Prochilodus_lineatus,F0311
Area_05,decembre,valley,lake,Winter,F,N-7,Leporinus_friderici,F0312
Area_02,juin,pothole,sky,Spring,M,M-6,Hoplias_malabaricus,F0313
Area_01,juillet,valley,lake,Winter,M,M-6,Cichla_ocellaris,F0314
Area_04,avril,montain,river,Spring,M,I-2,Prochilodus_lineatus,F0315
Area_06,juillet,montain,estuary,Spring,M,L-5,Hoplias_malabaricus,F0316
Area_02,octobre,valley,estuary,Winter,F,N-7,Pimelodus_maculatus,F0317
Area_06,decembre,montain,lake,Winter,M,J-3,Pimelodus_maculatus,F0318
Area_07,avril,plains,fast-stream,Winter,M,I-2,Prochilodus_lineatus,F0319
Area_05,septembre,valley,river,Winter,F,K-4,Geophagus_brasiliensis,F0320
Area_01,mai,montain,lake,Spring,F,L-5,Leporinus_friderici,F0321
Area_08,novembre,montain,river,Winter,M,M-6,Prochilodus_lineatus,F0322
Area_05,novembre,pothole,river,Spring,M,N-7,Hoplias_malabaricus,F0323
Area_01,septembre,montain,fast-stream,Winter,M,J-3,Astyanax_fasciatus,F0324
Area_04,septembre,pothole,sky,Spring,M,N-7,Leporinus_friderici,F0325
Area_03,mars,valley,marine,Autumn,F,J-3,Hoplias_malabaricus,F0326
Area_01,decembre,valley,slow-stream,Winter,M,J-3,Pimelodus_maculatus,F0327
Area_06,decembre,valley,slow-stream,Autumn,F,M-6,Prochilodus_lineatus,F0328
Area_01,novembre,pothole,estuary,Winter,M,H-1,Rhamdia_quelen,F0329
Area_02,janvier,pothole,fast-stream,Autumn,F,I-2,Rhamdia_quelen,F0330
Area_04,septembre,plains,estuary,Summer,F,N-7,Pimelodus_maculatus,F0331
Area_02,septembre,pothole,river,Spring,M,N-7,Astyanax_fasciatus,F0332
Area_01,decembre,montain,slow-stream,Summer,M,J-3,Pimelodus_maculatus,F0333
Area_05,mars,plains,fast-stream,Spring,F,J-3,Pimelodus_maculatus,F0334
Area_05,avril,pothole,slow-stream,Autumn,F,J-3,Geophagus_brasiliensis,F0335
