"sampling_area","month","region","habitat","season","sex","class","unique_id","species","prey_1","prey_2","prey_3","prey_4","prey_5","prey_6","prey_7","prey_8","prey_9","prey_10","prey_11","prey_12","prey_13","prey_14","prey_15","prey_16","prey_17","prey_18","prey_19","prey_20","prey_21","prey_22","prey_23","prey_24","prey_25","prey_26","prey_27","prey_28","prey_29","prey_30","prey_31","prey_32","prey_33","prey_34","prey_35","prey_36","prey_37","prey_38","prey_39","prey_40","prey_41","prey_42","prey_43","prey_44","prey_45","prey_46","prey_47","prey_48","prey_49","prey_50","prey_51","prey_52","prey_53","prey_54","prey_55","prey_56","prey_57","prey_58","prey_59","prey_60"
"Area_01","octobre","montain","fast-stream","Winter","F","M-6","F0024","Rhamdia_quelen",0.25,0,0.56,0.36,0,0.87,0.12,0,0.82,0,0.61,0,0,0.09,0,0.09,0.82,0.52,0.84,0,0,0,0.17,0.52,0.91,0.09,0.84,0.62,0.11,0.43,0,0,0.69,0.26,0.74,0.03,0,0,0.89,0.65,0.29,0.05,0.61,0,0.95,0.75,0.16,0.64,0.96,0.93,0.34,0.38,0.26,0,0.13,0.33,0,0,0.18,0.36
"Area_05","juin","valley","slow-stream","Spring","M","N-7","F0025","Geophagus_brasiliensis",0.06,0,0.61,0.66,0.23,0,0.22,0.46,0.56,0.67,0.46,0.32,0,0.72,0.3,0.27,0,0.03,0,0.73,0,0,0.39,0.64,0,0.26,0.32,0,0,0.12,0,0,0.36,0.32,0.56,0.65,0.35,0,0.98,0,0.54,0.23,0.09,0.9,0,0,0.91,0.41,0.67,0.25,0,0.47,0.34,0,0,0.85,0,0.96,0,0.92
"Area_03","octobre","pothole","slow-stream","Winter","F","L-5","F0026","Pimelodus_maculatus",0,0,0.22,0,0,0.76,0,0.32,0.18,0.49,0,0,0,0.29,0.71,0.15,0,0.44,0.29,0.4,0,0.06,0,0.61,0,0.16,0.27,0.63,0.02,0,0,0.3,0.26,0.38,0.84,0.66,0.57,0.45,0.67,0,0,0.99,0.97,0,0.61,0.36,0,0.33,0.32,0,0.49,0.97,0.31,0.17,0.66,0,0.31,0.29,0,0
"Area_08","avril","plains","river","Autumn","M","L-5","F0027","Hoplias_malabaricus",0.81,0.43,0,0,0,0,0.79,0,0,0.4,0,0.3,0,0.15,0.03,0,0.58,0.73,0.09,0,1,0.14,0.84,0.97,0.39,0.69,0.55,0.53,0,0,0.64,0.83,0.52,0,0,0.56,0.25,0.67,0.49,0.25,0.28,0,0.66,0.88,0.8,0.27,0.58,1,0.58,0.51,0.29,0.31,0,0.3,0.08,0.02,0.27,0.84,0,0
"Area_02","septembre","plains","estuary","Autumn","F","K-4","F0028","Hoplias_malabaricus",0.02,0,0.82,0.13,0.88,0.04,0,0,0.74,0,0.49,0,0.02,0.98,0.53,0.43,0.52,0.59,0.51,0,0.29,0,0,0.83,0.65,0,0.86,0.49,0.18,0.14,0.2,0.55,0.42,0.41,0.88,0.37,0.71,0,0.85,0.52,0,0,0.22,0.2,0.27,0.56,0.53,0,0.46,0.73,0.41,0,0,0.16,0,0,0.17,0.44,0,0
"Area_07","septembre","valley","marine","Summer","M","L-5","F0029","Prochilodus_lineatus",0.64,0,0.79,0.41,0.76,0.44,0,0.39,0.31,0.31,0.88,0.02,0,0.57,0,0.18,0,0,0.32,0,0.09,0,0.32,0.05,0.87,0,0.88,0.65,0,0,0.49,0.42,0.1,0,0,0.39,0,0.89,0.39,0.35,0.62,0,0,0.02,0.2,0.31,0.1,0.9,0.65,0.01,0,0.67,0.76,0.14,0.76,0.91,0.57,0.81,0,0
"Area_02","octobre","plains","estuary","Winter","F","J-3","F0030","Pimelodus_maculatus",0.02,0.25,0,0.79,0.77,0.31,0,0.36,0.67,0.93,0,0,0.83,0.14,0.79,0.82,0.48,0,0.24,0.62,0.79,0,0.14,0.41,0,0,0.6,0.04,0.31,0.04,0.25,0,0.39,0.97,0.57,0.45,0.69,0,0.95,0,0.37,0.61,0.72,0.76,0.8,0.88,0.52,0.12,0,0.03,0.91,0.46,0,0,0,0.98,0,0.73,0.85,0
"Area_01","avril","pothole","sky","Autumn","F","M-6","F0031","Pimelodus_maculatus",0.1,0,0.03,0.03,0,0,0,0,0,0.44,0,0.45,0.24,0.5,0.27,0,0.26,0,0,0,0.3,0,0,0.76,0,0.75,0,0.03,0,0.16,0,0,0.72,0,0.92,0.41,0,0.73,0.37,0.52,0.27,0,0.68,0,0,0,0.38,0.49,0,0,0.15,0,0.87,0.64,0.72,0,0,0.48,0.83,0.26
"Area_06","mai","montain","sky","Autumn","M","N-7","F0032","Cichla_ocellaris",0.56,0.56,0.38,0.79,0.11,0,0,0,0.88,0.44,0.2,0.25,0.31,0,0.66,0.57,0.81,0.52,0,0.31,0.65,0,0.29,0.59,0,0.18,0.5,0,0.18,0.18,0.66,0.23,0.73,0.35,0,0.47,0.57,0.63,0.32,0,0.39,0,0.81,0.57,0.21,0.68,0.36,0.19,0.32,0,0.84,0,0.9,0.19,0.21,0.02,0.32,0.31,0.2,0.76
"Area_03","novembre","montain","marine","Winter","M","I-2","F0033","Astyanax_fasciatus",0.17,0,0.81,0.61,0.95,0,0.91,0.92,0.89,0.87,0,0,0,0.64,0.82,0,0.1,0,0.03,0.29,0.64,0.13,0.73,0.08,0.21,0.25,0.37,0.89,0.65,0.46,0,0,0.22,0.95,0,0.26,0.82,0,0.66,0.7,0,0.75,0.62,0.01,0.59,0.89,0.48,0,0.04,0.72,0.24,0.71,0.5,0.16,0.75,0.86,0.28,0.91,0,0.93
"Area_04","septembre","montain","fast-stream","Autumn","F","L-5","F0034","Pimelodus_maculatus",0.52,0.96,0.78,0.58,0,0.19,0.62,0.82,0.49,0,0,0.43,0,0,0.49,0.08,0,0,0,0.83,0.23,0.15,0.89,0,0.48,0.84,0.08,0.21,0.83,0,0,0.37,0.48,0.58,0.29,0.8,0,0,0.5,0.5,0,0,0.75,0.8,0,0.99,0.36,0.62,0.15,0.72,0,0,0,0.29,0,0,0,0.31,0,0.48
"Area_06","mars","montain","marine","Winter","M","L-5","F0035","Rhamdia_quelen",0,0,0,0.84,0,0.86,0.73,0,0.7,0,0,0.44,0,0,0.21,0.69,0.73,0.07,0.92,0.8,0.08,0,0.66,0.86,0,0.65,0,0,0.03,0,0.46,0.61,0,0.71,0,0.01,0.81,0.62,0,0,0.85,0,0.22,0.39,0.19,0,0.16,0,0.11,0.78,0.99,0.7,0.24,0.07,0.61,0,0,0.35,0.91,0.57
"Area_01","mars","montain","marine","Summer","F","J-3","F0036","Leporinus_friderici",0.37,0.81,0,0.48,0.45,0.2,0.58,0.82,0,0,0.87,0,0.6,0,0.91,0.59,0.46,0.28,0.28,0.47,0.62,0.8,0.79,0.15,0.67,0,0.92,0.32,0.93,0,0.52,0.16,0.28,0,0.41,0.18,0.65,0.95,0.04,0,0,0,0.17,0,0.32,0.72,0,0.64,0,0.66,0.97,0.21,0,0.53,0.39,0.11,0.47,0.47,0.77,0.28
"Area_03","fevrier","plains","fast-stream","Autumn","M","J-3","F0037","Rhamdia_quelen",0.31,0,0.78,0.62,0,0,0.14,0.54,0,0.82,0.91,0.62,0,0.31,0.17,0.42,0.9,0.25,0.66,0.93,0.92,0.13,0.3,0.83,0.64,0.99,0.79,0.28,0.44,0.17,0,0.46,0,0,0,0,0,0.04,0.12,0.04,0.69,0,0,0.33,0.42,0.55,0.79,0.8,0.24,0,0.38,0.78,0.45,0,0,0,0.37,0.66,0,0.73
"Area_07","juillet","pothole","fast-stream","Spring","M","H-1","F0038","Astyanax_fasciatus",0.8,0.74,0.59,0.82,0,0.77,0.23,0.9,0,0.65,0,0.42,0,0.07,0,0,0,0,0,0.45,0,0.6,0.2,0,0.73,0,0.69,0,0,0.28,0.67,0,0.18,0,0.63,0.6,0,0.47,0.64,0,0.85,0.9,0,0.46,0.98,0.69,0.46,0,0,0.12,0,0.71,0.94,0.42,0.98,0,0,0.92,0.56,0.45
"Area_05","decembre","montain","river","Spring","F","N-7","F0039","Pimelodus_maculatus",0,0,0,0,0,0.59,0,0,0.03,0,0,0,0.07,0.5,0.12,0.35,0,0.48,0.14,0.2,0,0.26,0.43,0.88,0.68,0,0.12,0.9,0,0,0.46,0.78,0.4,0.51,0.02,0,0,0,0,0.94,0.16,0.01,0.32,0,0,0,0.77,0.21,0.44,0.03,0,0.21,0.31,0.98,0,0.69,0.65,0,0.88,0.89
"Area_04","janvier","valley","estuary","Winter","F","N-7","F0040","Rhamdia_quelen",0.88,0,0.8,0.42,0.98,0.16,0,0.2,0.75,0,0.64,0,0,0.91,0,0.42,0.42,0.77,0.45,0,0,0.87,0,0.83,0.1,0.02,0.31,0.18,0.12,0,0.36,0,0.48,0,0,0.09,0,0,0.27,0.93,0.96,0,0.6,0,0.62,0,0.84,0.18,0.89,0,0,0,0,0.87,0,0.26,0.87,0.29,0.58,0.24
"Area_07","mars","montain","sky","Summer","M","M-6","F0041","Leporinus_friderici",0,0.79,0,0.56,0,0.76,0.18,0.47,0.92,0.75,0,0.57,0.46,0,0.97,0.58,0.52,0,0.79,0,0.87,0.95,0.04,0,0.9,0,0,0.9,0.57,0,0,0.44,0,0.52,0.59,0,0,0.72,0,0.99,0.65,0.66,0.45,0,0,0.44,0.56,0.57,0.82,0.47,0,0.37,0,0.27,0.52,0.26,0.25,0.1,0.31,0
"Area_08","juillet","valley","slow-stream","Autumn","M","L-5","F0042","Cichla_ocellaris",0.84,0,0,0,0.31,0.79,0.37,0.37,0.82,0,0,0,0.65,0,0.89,0.65,0,0.41,0.14,0.27,0.77,0.6,0.81,0,1,0.32,0,0,0.37,0.04,0.74,0.45,0.75,0.88,0.77,0.33,0.46,0.78,0,0.03,0,0.3,0.16,0.07,0,0,0.52,0.75,0.58,0,0,0.84,0.76,0,0.58,0.13,0,0.04,0.56,0
"Area_02","fevrier","pothole","slow-stream","Spring","F","H-1","F0043","Leporinus_friderici",0,0.91,0.28,0.28,0.84,0.06,0,0,0.9,0.95,0.41,1,0.24,0,0.97,0.27,0.16,0.77,0.22,0.86,0,0.1,0,0,0.28,0,0,0.48,0.55,0,0.2,0.02,0.04,0.84,0.22,0,0.42,0,0.13,0,0,0.14,0.29,0,0.49,0.7,0.53,0.53,0.41,0.47,0,0.87,0.86,0.63,0,0.49,0.85,0.41,0.06,0
"Area_05","septembre","pothole","estuary","Autumn","M","M-6","F0044","Astyanax_fasciatus",0,0,0,0.14,0,0.52,0,0.59,0.2,0,0.74,0.34,0,0.96,0,0,0.08,0.27,0.75,0.39,0.89,0.82,0.13,0,0,0.4,0.44,0,0.87,0.36,0.64,0.76,0.98,0.22,0.93,0,0.69,0,0,0,0,0.2,0.56,0,0.48,0,0.09,0.62,0.94,0.73,0.96,0.39,0,0.94,0.34,0.36,0,0.99,0,0
"Area_07","mai","plains","marine","Winter","M","K-4","F0045","Hoplias_malabaricus",0.94,0.17,0.02,0,0.28,0.69,0.48,0.24,0,0,0,0.88,0.41,0.57,0.59,0.01,0,0.77,0,0,0.45,0.77,0,0.32,0,0.39,0.22,0,0,0,0.99,0.26,0,0,0.62,0,0.58,0.02,0,0.45,0,0,0,0,0.79,0.34,0.56,0,0.06,0.78,0,0,0.08,0.86,0.31,0.81,0.87,0.23,0,0.27
"Area_01","janvier","valley","lake","Spring","M","J-3","F0046","Prochilodus_lineatus",0.49,0.78,0.65,0.25,0,0.12,0,0.42,0.05,0,0.97,0.77,0.87,0,0,0,0,0.08,0.44,0.72,0,0,0.57,0.92,0.56,0.95,0.99,0,0.28,0.44,0,0.92,0.36,0.17,0,0.25,0.44,0,0.33,0.64,0,0.41,0,0.03,0.75,0.72,0.36,0,0.49,0,0.92,0.91,0.06,0,0.38,0.71,0.27,0,0.14,0.65
"Area_01","octobre","pothole","marine","Summer","M","N-7","F0047","Rhamdia_quelen",0,0.57,0.13,0.75,0.26,0.57,0.55,0.55,0,0.16,0.81,0.87,0,0.11,0,0.28,0.9,0.78,0,0,0,0.46,0.58,0.73,0.25,0,0,0.3,0.52,0.71,0,0.68,0,0,0,0,0,0.06,0.87,0,0,0.33,0.05,0.77,0.76,0.87,0.31,0,0.84,0,0,0,0.73,0,0.53,0.64,0.81,0.21,0.21,0.44
"Area_02","septembre","montain","lake","Autumn","M","K-4","F0048","Prochilodus_lineatus",0.62,0.56,0.31,0,0.87,0,0.14,0.38,0,0.71,0.31,0.04,0.65,0,0,0.47,0,0,0,0.18,0,0.92,0.23,0.98,0.8,0,0.23,0,0.54,0.86,0.52,0,0,0.59,0.09,0,0.62,0.79,0.48,0.79,0,0.45,0.18,0.69,0,0.41,0,0.22,0.81,0.61,0,0.86,0,0.66,0.03,0,0.68,0,0.81,0.85
"Area_07","septembre","valley","sky","Winter","M","M-6","F0049","Astyanax_fasciatus",0,0.91,0.47,0.65,0,0.11,0,0,0,0.41,0.99,0.85,0,0.56,0,0.2,0.64,0,0,0,0.29,0.74,0.33,0.63,0,0,0.81,0.28,0,0,0.36,0,0.94,0.46,0.34,0.1,0,0,0.45,0.66,0.88,0.47,0.43,0,0.66,0.07,0.67,0.65,0.81,0,0.02,0.41,0.65,0.86,0,0.17,0.67,0,0,0.95
"Area_03","juillet","plains","fast-stream","Spring","M","M-6","F0050","Rhamdia_quelen",0.03,0,0,0.28,0,0,0.8,0.66,0.62,0,0,0.9,0.79,0.03,0.57,0.12,0.47,0,0.69,0.25,0,0.17,0.56,0.99,0.78,0.08,0.52,0.14,0,0.95,0.26,0.94,0,0.44,0.93,0.32,0.84,0.88,0.72,0,0,0.93,0.01,0,0.32,0,0.39,0,0.6,0.87,0,0.71,0,0,0.35,0.15,0.06,0,0.96,0.48
"Area_04","fevrier","montain","river","Autumn","F","L-5","F0051","Leporinus_friderici",0.36,0.26,0,0,0.01,0.87,0.93,0.85,0,0.74,0.91,0.37,0.83,0.98,0.22,0,0.94,0,0.58,0.58,0,0.12,0.86,0.36,0.37,0.72,0.14,0,0.85,0.67,0.08,0,0.05,0.04,0.91,0.32,0.89,0,0,0,0.23,0.46,0.22,0,0,0.61,0,0.85,0,0.2,0.78,0.49,0.07,0,0,0,0.51,0.32,0.74,0.98
"Area_05","decembre","valley","estuary","Spring","F","K-4","F0052","Geophagus_brasiliensis",0,0.91,0.19,0.38,0.29,0.64,0,0.89,0,0,0.25,0.9,0.34,0.85,0.06,0.53,0.91,0,0.19,0.25,0.75,0.69,0.04,0,0,0.74,0,0,0.06,0.59,0.63,0,0,0.05,0.28,0.45,0,0,0,0,0,0.67,0,0.08,0.32,0.14,0,0.4,0.21,0.39,0.51,0,0,0,0.94,0.51,0,0,0,0.34
"Area_07","aout","plains","slow-stream","Summer","F","N-7","F0053","Geophagus_brasiliensis",0.94,0.81,0,0.58,0.51,0,0.99,0,0.5,0,0,0.7,0.72,0.95,0.54,0.59,0.49,0,0.6,0.95,0.33,0,0,0,0,0.58,0.82,0.52,0.59,0.56,0.09,0,0.81,0.08,0.64,0,0.91,0.84,0,0.82,0.52,0,0.84,0.18,0,0.4,0.56,0.42,0.75,0,0,0.05,0.1,0.39,0.62,0,0,0.89,0.61,0
"Area_05","juillet","valley","sky","Spring","F","K-4","F0054","Geophagus_brasiliensis",0,0.8,0.5,0.86,0.74,0.83,0,0.92,0.36,0.27,0.54,0,0.28,0,0.11,0.48,0,0.98,0,0.32,0,0.68,0,0,0.51,0.19,0.75,0.31,0,0.52,0,0.06,0.86,0.9,0,0,0,0,0.48,0,0,0,0.54,0.61,0,0,0,0,0.18,0.26,0.48,0.89,0.12,0.71,0,0,0.44,0,0.35,0.17
"Area_03","juin","valley","fast-stream","Winter","F","K-4","F0055","Cichla_ocellaris",0.54,0.07,0,0.54,0.14,0,0.55,0.12,0.8,0,0.09,0,0.44,0.08,0,0.13,0.59,0.46,0.93,0.67,0.82,0.84,0,0.32,0,0.67,0.59,0.41,0,0.23,0.52,0.87,0,0,0,0.31,0,0,0.12,0.04,0.06,0.94,0,0.65,0,0.06,0,0.81,0.83,0.25,0.45,0,0.91,0,0.83,0.97,0,0,0,0.21
