"","scenario_name","prey_item","stomachs_with_prey","total_stomachs","frequency_occurrence","total_volume_item","total_volume_all","volume_percentage","fo_times_v","iai"
"23","sampling_area=Area_01__season=Autumn__sex=F","prey_17",17,23,73.9130434782609,7.18,456.79,1.57183826265899,116.179349848708,1.76822696350551
"24","sampling_area=Area_01__season=Autumn__sex=F","prey_44",15,23,65.2173913043478,8.13,456.79,1.77981129184089,116.074649467884,1.76663344420365
"25","sampling_area=Area_01__season=Autumn__sex=F","prey_15",16,23,69.5652173913043,7.51,456.79,1.64408152542744,114.370888725387,1.74070253920057
"26","sampling_area=Area_01__season=Autumn__sex=F","prey_58",16,23,69.5652173913043,7.49,456.79,1.63970314586571,114.066305799354,1.73606684668606
"27","sampling_area=Area_01__season=Autumn__sex=F","prey_52",16,23,69.5652173913043,7.47,456.79,1.63532476630399,113.761722873321,1.73143115417154
"28","sampling_area=Area_01__season=Autumn__sex=F","prey_18",14,23,60.8695652173913,8.52,456.79,1.86518969329451,113.533285678796,1.72795438478566
"29","sampling_area=Area_01__season=Autumn__sex=F","prey_55",15,23,65.2173913043478,7.58,456.79,1.65940585389347,108.222120906096,1.64711949656379
"30","sampling_area=Area_01__season=Autumn__sex=F","prey_6",14,23,60.8695652173913,8.06,456.79,1.76448696337485,107.403554292382,1.63466107293103
"31","sampling_area=Area_01__season=Autumn__sex=F","prey_20",14,23,60.8695652173913,7.93,456.79,1.73602749622365,105.67123890057,1.60829557175473
"32","sampling_area=Area_01__season=Autumn__sex=F","prey_33",14,23,60.8695652173913,7.89,456.79,1.7272707371002,105.138218780012,1.60018310985432
"33","sampling_area=Area_01__season=Autumn__sex=F","prey_41",15,23,65.2173913043478,7.29,456.79,1.59591935024847,104.081696755335,1.5841030514446
"34","sampling_area=Area_01__season=Autumn__sex=F","prey_53",15,23,65.2173913043478,7.29,456.79,1.59591935024847,104.081696755335,1.5841030514446
"35","sampling_area=Area_01__season=Autumn__sex=F","prey_25",14,23,60.8695652173913,7.73,456.79,1.69224370060641,103.006138297781,1.56773326225271
"36","sampling_area=Area_01__season=Autumn__sex=F","prey_47",14,23,60.8695652173913,7.71,456.79,1.68786532104468,102.739628237502,1.56367703130251
"37","sampling_area=Area_01__season=Autumn__sex=F","prey_5",13,23,56.5217391304348,8.02,456.79,1.75573020425141,99.236924588123,1.51036656738559
"38","sampling_area=Area_01__season=Autumn__sex=F","prey_57",14,23,60.8695652173913,7.41,456.79,1.62218962761882,98.7419773333194,1.5028335670495
"39","sampling_area=Area_01__season=Autumn__sex=F","prey_39",16,23,69.5652173913043,6.34,456.79,1.38794632106657,96.5527875524573,1.46951452710142
"40","sampling_area=Area_01__season=Autumn__sex=F","prey_16",16,23,69.5652173913043,6.27,456.79,1.37262199260054,95.4867473113418,1.45328960330061
"41","sampling_area=Area_01__season=Autumn__sex=F","prey_19",14,23,60.8695652173913,7.14,456.79,1.56308150353554,95.1440915195547,1.44807444922178
"42","sampling_area=Area_01__season=Autumn__sex=F","prey_8",13,23,56.5217391304348,7.41,456.79,1.62218962761882,91.688978952368,1.39548831226025
"43","sampling_area=Area_01__season=Autumn__sex=F","prey_36",16,23,69.5652173913043,5.78,456.79,1.2653516933383,88.0244656235336,1.33971513669498
"44","sampling_area=Area_01__season=Autumn__sex=F","prey_42",14,23,60.8695652173913,6.5,456.79,1.42297335756037,86.615769590631,1.31827505881535
"45","sampling_area=Area_01__season=Autumn__sex=F","prey_29",12,23,52.1739130434783,7.53,456.79,1.64845990498916,86.006603738565,1.30900367378632
"46","sampling_area=Area_01__season=Autumn__sex=F","prey_2",13,23,56.5217391304348,6.75,456.79,1.47770310208192,83.5223492481085,1.2711938067148
"47","sampling_area=Area_01__season=Autumn__sex=F","prey_46",13,23,56.5217391304348,6.23,456.79,1.36386523347709,77.0880349356616,1.17326480234566
"48","sampling_area=Area_01__season=Autumn__sex=F","prey_1",14,23,60.8695652173913,5.72,456.79,1.25221655465312,76.2218772397553,1.16008205175751
"49","sampling_area=Area_01__season=Autumn__sex=F","prey_13",13,23,56.5217391304348,6.13,456.79,1.34197333566847,75.8506667986526,1.15443230150544
"50","sampling_area=Area_01__season=Autumn__sex=F","prey_10",13,23,56.5217391304348,6.01,456.79,1.31570305829812,74.3658250342418,1.13183330049718
"51","sampling_area=Area_01__season=Autumn__sex=F","prey_21",12,23,52.1739130434783,6.16,456.79,1.34854090501106,70.3586559136203,1.07084497085308
"52","sampling_area=Area_01__season=Autumn__sex=F","prey_24",12,23,52.1739130434783,6.13,456.79,1.34197333566847,70.0160001218332,1.06562981677425
"53","sampling_area=Area_01__season=Autumn__sex=F","prey_51",11,23,47.8260869565217,6.12,456.79,1.33978414588761,64.0766330641899,0.975233812741201
"54","sampling_area=Area_01__season=Autumn__sex=F","prey_50",11,23,47.8260869565217,5.86,456.79,1.28286521158519,61.3544231627701,0.933802310892718
"55","sampling_area=Area_01__season=Autumn__sex=F","prey_45",12,23,52.1739130434783,4.98,456.79,1.09021651086933,56.8808614366606,0.865715577085772
"56","sampling_area=Area_01__season=Autumn__sex=F","prey_23",12,23,52.1739130434783,4.9,456.79,1.07270299262243,55.9671126585616,0.851808499542225
"57","sampling_area=Area_01__season=Autumn__sex=F","prey_30",10,23,43.4782608695652,5.72,456.79,1.25221655465312,54.4441980283966,0.828630036969648
"58","sampling_area=Area_01__season=Autumn__sex=F","prey_7",11,23,47.8260869565217,4.65,456.79,1.01797324810088,48.6856770830855,0.740986475367089
"59","sampling_area=Area_01__season=Autumn__sex=F","prey_27",10,23,43.4782608695652,4.45,456.79,0.974189452483636,42.3560631514624,0.644650990299813
"60","sampling_area=Area_01__season=Autumn__sex=F","prey_26",10,23,43.4782608695652,3.84,456.79,0.840648875851048,36.5499511239586,0.556283101741861
"61","sampling_area=Area_01__season=Autumn__sex=M","prey_24",17,20,85,8.77,378.8,2.31520591341077,196.792502639916,2.99501400177583
"62","sampling_area=Area_01__season=Autumn__sex=M","prey_51",16,20,80,8.75,378.8,2.30992608236536,184.794086589229,2.81240834562088
"63","sampling_area=Area_01__season=Autumn__sex=M","prey_44",15,20,75,9.31,378.8,2.45776135163675,184.332101372756,2.80537732475683
"64","sampling_area=Area_01__season=Autumn__sex=M","prey_12",16,20,80,8.68,378.8,2.29144667370644,183.315733896515,2.78990907885591
"65","sampling_area=Area_01__season=Autumn__sex=M","prey_6",16,20,80,8.49,378.8,2.24128827877508,179.303062302006,2.72883964049386
"66","sampling_area=Area_01__season=Autumn__sex=M","prey_52",15,20,75,8.95,378.8,2.36272439281943,177.204329461457,2.69689871714002
"67","sampling_area=Area_01__season=Autumn__sex=M","prey_50",15,20,75,8.31,378.8,2.19376979936642,164.532734952482,2.50404785915459
"68","sampling_area=Area_01__season=Autumn__sex=M","prey_23",15,20,75,8.2,378.8,2.16473072861668,162.354804646251,2.47090161793834
"69","sampling_area=Area_01__season=Autumn__sex=M","prey_37",15,20,75,7.86,378.8,2.07497360084477,155.623020063358,2.36844959963358
"70","sampling_area=Area_01__season=Autumn__sex=M","prey_7",15,20,75,7.86,378.8,2.07497360084477,155.623020063358,2.36844959963358
"71","sampling_area=Area_01__season=Autumn__sex=M","prey_56",16,20,80,7.3,378.8,1.92713833157339,154.171066525871,2.34635210548942
"72","sampling_area=Area_01__season=Autumn__sex=M","prey_4",14,20,70,8.28,378.8,2.18585005279831,153.009503695882,2.32867411017409
"73","sampling_area=Area_01__season=Autumn__sex=M","prey_43",14,20,70,8.26,378.8,2.1805702217529,152.639915522703,2.32304929348285
"74","sampling_area=Area_01__season=Autumn__sex=M","prey_45",14,20,70,8.24,378.8,2.1752903907075,152.270327349525,2.3174244767916
"75","sampling_area=Area_01__season=Autumn__sex=M","prey_29",15,20,75,7.14,378.8,1.88489968321014,141.36747624076,2.15149238439997
"76","sampling_area=Area_01__season=Autumn__sex=M","prey_13",14,20,70,7.32,378.8,1.9324181626188,135.269271383316,2.05868290899448
"77","sampling_area=Area_01__season=Autumn__sex=M","prey_18",14,20,70,6.96,378.8,1.83738120380148,128.616684266103,1.95743620855213
"78","sampling_area=Area_01__season=Autumn__sex=M","prey_16",13,20,65,7.38,378.8,1.94825765575502,126.636747624076,1.92730326199191
"79","sampling_area=Area_01__season=Autumn__sex=M","prey_22",15,20,75,6.29,378.8,1.66050686378036,124.538014783527,1.89536233863807
"80","sampling_area=Area_01__season=Autumn__sex=M","prey_27",12,20,60,7.46,378.8,1.96937697993664,118.162618796199,1.79833425071415
"81","sampling_area=Area_01__season=Autumn__sex=M","prey_10",13,20,65,6.78,378.8,1.78986272439282,116.341077085533,1.77061193987874
"82","sampling_area=Area_01__season=Autumn__sex=M","prey_14",12,20,60,7.29,378.8,1.92449841605069,115.469904963041,1.75735344339225
"83","sampling_area=Area_01__season=Autumn__sex=M","prey_49",14,20,70,6.18,378.8,1.63146779303062,114.202745512144,1.7380683575937
"84","sampling_area=Area_01__season=Autumn__sex=M","prey_5",13,20,65,6.45,378.8,1.70274551214361,110.678458289335,1.6844317127165
"85","sampling_area=Area_01__season=Autumn__sex=M","prey_54",13,20,65,6.37,378.8,1.68162618796199,109.305702217529,1.66353953643475
"86","sampling_area=Area_01__season=Autumn__sex=M","prey_17",13,20,65,6.24,378.8,1.64730728616684,107.074973600845,1.6295897499769
"87","sampling_area=Area_01__season=Autumn__sex=M","prey_33",13,20,65,6.13,378.8,1.61826821541711,105.187434002112,1.60086300758948
"88","sampling_area=Area_01__season=Autumn__sex=M","prey_48",13,20,65,5.96,378.8,1.57338965153115,102.270327349525,1.55646713299075
"89","sampling_area=Area_01__season=Autumn__sex=M","prey_19",12,20,60,6.43,378.8,1.6974656810982,101.847940865892,1.55003877105791
"90","sampling_area=Area_01__season=Autumn__sex=M","prey_42",13,20,65,5.92,378.8,1.56282998944034,101.583949313622,1.54602104484988
"91","sampling_area=Area_01__season=Autumn__sex=M","prey_32",13,20,65,5.91,378.8,1.56019007391763,101.412354804646,1.54340952281466
"92","sampling_area=Area_01__season=Autumn__sex=M","prey_34",11,20,55,6.86,378.8,1.81098204857445,99.6040126715945,1.51588809828965
"93","sampling_area=Area_01__season=Autumn__sex=M","prey_46",13,20,65,5.79,378.8,1.5285110876452,99.3532206969377,1.51207125839203
"94","sampling_area=Area_01__season=Autumn__sex=M","prey_15",13,20,65,5.75,378.8,1.51795142555438,98.6668426610348,1.50162517025115
"95","sampling_area=Area_01__season=Autumn__sex=M","prey_35",13,20,65,5.71,378.8,1.50739176346357,97.980464625132,1.49117908211027
"96","sampling_area=Area_01__season=Autumn__sex=M","prey_30",12,20,60,5.91,378.8,1.56019007391763,93.6114044350581,1.42468571336738
"97","sampling_area=Area_01__season=Autumn__sex=M","prey_57",12,20,60,5.85,378.8,1.54435058078141,92.6610348468849,1.41022189901847
"98","sampling_area=Area_01__season=Autumn__sex=M","prey_21",12,20,60,5.63,378.8,1.48627243928194,89.1763463569166,1.35718791307248
"99","sampling_area=Area_01__season=Autumn__sex=M","prey_58",11,20,55,5.85,378.8,1.54435058078141,84.9392819429778,1.2927034074336
"100","sampling_area=Area_01__season=Autumn__sex=M","prey_53",13,20,65,4.93,378.8,1.30147835269271,84.5960929250264,1.28748036336316
"101","sampling_area=Area_01__season=Autumn__sex=M","prey_39",12,20,60,5.31,378.8,1.40179514255544,84.1077085533263,1.2800475698783
"102","sampling_area=Area_01__season=Autumn__sex=M","prey_26",11,20,55,5.73,378.8,1.51267159450898,83.1969376979937,1.2661864144606
"103","sampling_area=Area_01__season=Autumn__sex=M","prey_1",11,20,55,5.68,378.8,1.49947201689546,82.4709609292503,1.25513766738852
"104","sampling_area=Area_01__season=Autumn__sex=M","prey_8",12,20,60,5.2,378.8,1.3727560718057,82.3653643083421,1.25353057690531
"105","sampling_area=Area_01__season=Autumn__sex=M","prey_47",13,20,65,4.75,378.8,1.25395987328405,81.5073917634636,1.24047296672921
"106","sampling_area=Area_01__season=Autumn__sex=M","prey_9",11,20,55,5.47,378.8,1.44403379091869,79.421858500528,1.20873292968577
"107","sampling_area=Area_01__season=Autumn__sex=M","prey_36",15,20,75,3.9,378.8,1.02956705385428,77.2175290390707,1.17518491584872
"108","sampling_area=Area_01__season=Autumn__sex=M","prey_55",11,20,55,5.29,378.8,1.39651531151003,76.8083421330517,1.16895744022628
"109","sampling_area=Area_01__season=Autumn__sex=M","prey_38",11,20,55,5.23,378.8,1.38067581837381,75.9371700105597,1.15569894373978
"110","sampling_area=Area_01__season=Autumn__sex=M","prey_31",12,20,60,4.72,378.8,1.24604012671595,74.7624076029567,1.13782006211405
"111","sampling_area=Area_01__season=Autumn__sex=M","prey_41",10,20,50,5.28,378.8,1.39387539598733,69.6937697993664,1.06067971891987
"112","sampling_area=Area_01__season=Autumn__sex=M","prey_11",10,20,50,5.14,378.8,1.35691657866948,67.8458289334741,1.03255563546367
"113","sampling_area=Area_01__season=Autumn__sex=M","prey_20",10,20,50,4.92,378.8,1.29883843717001,64.9419218585005,0.988360647175338
"114","sampling_area=Area_01__season=Autumn__sex=M","prey_28",9,20,45,5.38,378.8,1.42027455121436,63.9123548046462,0.972691514964021
"115","sampling_area=Area_01__season=Autumn__sex=M","prey_60",10,20,50,4.75,378.8,1.25395987328405,62.6979936642027,0.954209974407084
"116","sampling_area=Area_01__season=Autumn__sex=M","prey_2",11,20,55,4.22,378.8,1.11404435058078,61.272439281943,0.932514252883723
"117","sampling_area=Area_01__season=Autumn__sex=M","prey_40",11,20,55,4.21,378.8,1.11140443505808,61.1272439281943,0.930304503469307
"118","sampling_area=Area_01__season=Autumn__sex=M","prey_59",11,20,55,3.89,378.8,1.02692713833157,56.4809926082365,0.859592522207982
"119","sampling_area=Area_01__season=Autumn__sex=M","prey_25",12,20,60,3.43,378.8,0.905491024287223,54.3294614572334,0.826848053612539
"120","sampling_area=Area_01__season=Autumn__sex=M","prey_3",9,20,45,4.55,378.8,1.20116156282999,54.0522703273495,0.822629441094107
"121","sampling_area=Area_01__season=Spring__sex=F","prey_31",16,19,84.2105263157895,9.51,372.15,2.55542120112858,215.193364305564,3.14464628929258
"122","sampling_area=Area_01__season=Spring__sex=F","prey_58",16,19,84.2105263157895,9.01,372.15,2.42106677415021,203.87930729686,2.97931262529192
"123","sampling_area=Area_01__season=Spring__sex=F","prey_12",15,19,78.9473684210526,9.57,372.15,2.57154373236598,203.016610449946,2.96670593341187
"124","sampling_area=Area_01__season=Spring__sex=F","prey_44",16,19,84.2105263157895,8.93,372.15,2.39957006583367,202.069058175467,2.95285923905181
"125","sampling_area=Area_01__season=Spring__sex=F","prey_33",16,19,84.2105263157895,8.16,372.15,2.19266424828698,184.645410382062,2.69824539649079
"126","sampling_area=Area_01__season=Spring__sex=F","prey_56",14,19,73.6842105263158,8.99,372.15,2.41569259707107,177.998401889448,2.6011118688904
"127","sampling_area=Area_01__season=Spring__sex=F","prey_25",16,19,84.2105263157895,7.61,372.15,2.04487437861078,172.199947672486,2.51637836609007
"128","sampling_area=Area_01__season=Spring__sex=F","prey_28",15,19,78.9473684210526,7.94,372.15,2.1335483004165,168.438023717092,2.46140492280985
"129","sampling_area=Area_01__season=Spring__sex=F","prey_27",15,19,78.9473684210526,7.87,372.15,2.11473868063953,166.953053734699,2.43970487940976
"130","sampling_area=Area_01__season=Spring__sex=F","prey_59",14,19,73.6842105263158,8.09,372.15,2.17385462851001,160.178762100738,2.34071134808936
"131","sampling_area=Area_01__season=Spring__sex=F","prey_32",15,19,78.9473684210526,7.46,372.15,2.00456805051726,158.255372409258,2.31260462520925
"132","sampling_area=Area_01__season=Spring__sex=F","prey_57",14,19,73.6842105263158,7.72,372.15,2.07443235254602,152.852910187601,2.23365780064893
"133","sampling_area=Area_01__season=Spring__sex=F","prey_15",14,19,73.6842105263158,7.58,372.15,2.03681311299207,150.080966220469,2.19315105296877
"134","sampling_area=Area_01__season=Spring__sex=F","prey_40",16,19,84.2105263157895,6.63,372.15,1.78153970173317,150.024395935425,2.19232438464877
"135","sampling_area=Area_01__season=Spring__sex=F","prey_26",13,19,68.4210526315789,7.93,372.15,2.13086121187693,145.795767128422,2.13053092772852
"136","sampling_area=Area_01__season=Spring__sex=F","prey_8",13,19,68.4210526315789,7.92,372.15,2.12817412333736,145.61191370203,2.12784425568851
"137","sampling_area=Area_01__season=Spring__sex=F","prey_53",14,19,73.6842105263158,7.34,372.15,1.97232298804246,145.329062276813,2.1237109140885
"138","sampling_area=Area_01__season=Spring__sex=F","prey_20",14,19,73.6842105263158,7.07,372.15,1.89977159747414,139.9831703402,2.04559075784818
"139","sampling_area=Area_01__season=Spring__sex=F","prey_23",12,19,63.1578947368421,8.15,372.15,2.18997715974741,138.314346931416,2.02120404240808
"140","sampling_area=Area_01__season=Spring__sex=F","prey_41",13,19,68.4210526315789,7.52,372.15,2.02069058175467,138.257776646372,2.02037737408808
"141","sampling_area=Area_01__season=Spring__sex=F","prey_16",14,19,73.6842105263158,6.92,372.15,1.85946526938063,137.013230375415,2.00219067104801
"142","sampling_area=Area_01__season=Spring__sex=F","prey_36",13,19,68.4210526315789,7.32,372.15,1.96694881096332,134.580708118543,1.96664393328787
"143","sampling_area=Area_01__season=Spring__sex=F","prey_49",13,19,68.4210526315789,7.23,372.15,1.94276501410721,132.92602728102,1.94246388492777
"144","sampling_area=Area_01__season=Spring__sex=F","prey_6",13,19,68.4210526315789,7.21,372.15,1.93739083702808,132.558320428237,1.93709054084775
"145","sampling_area=Area_01__season=Spring__sex=F","prey_45",13,19,68.4210526315789,7.12,372.15,1.91320704017197,130.903639590714,1.91291049248765
"146","sampling_area=Area_01__season=Spring__sex=F","prey_34",14,19,73.6842105263158,6.5,372.15,1.7466075507188,128.697398474017,1.88067042800752
"147","sampling_area=Area_01__season=Spring__sex=F","prey_52",12,19,63.1578947368421,7.57,372.15,2.03412602445251,128.471117333842,1.87736375472751
"148","sampling_area=Area_01__season=Spring__sex=F","prey_14",12,19,63.1578947368421,7.27,372.15,1.95351336826548,123.379791679925,1.80296360592721
"149","sampling_area=Area_01__season=Spring__sex=F","prey_4",14,19,73.6842105263158,6.17,372.15,1.65793362891307,122.16353055149,1.78519023704714
"150","sampling_area=Area_01__season=Spring__sex=F","prey_1",14,19,73.6842105263158,6,372.15,1.61225312374043,118.7975985914,1.73600347200694
"151","sampling_area=Area_01__season=Spring__sex=F","prey_54",13,19,68.4210526315789,6.42,372.15,1.72511084240226,118.033899743312,1.7248434496869
"152","sampling_area=Area_01__season=Spring__sex=F","prey_50",13,19,68.4210526315789,6.38,372.15,1.71436248824399,117.298486037747,1.71409676152686
"153","sampling_area=Area_01__season=Spring__sex=F","prey_38",14,19,73.6842105263158,5.76,372.15,1.54776299879081,114.045694647744,1.66656333312667
"154","sampling_area=Area_01__season=Spring__sex=F","prey_11",14,19,73.6842105263158,5.69,372.15,1.52895337901384,112.659722664178,1.64630995928659
"155","sampling_area=Area_01__season=Spring__sex=F","prey_5",12,19,63.1578947368421,6.63,372.15,1.78153970173317,112.518296951569,1.64424328848658
"156","sampling_area=Area_01__season=Spring__sex=F","prey_60",12,19,63.1578947368421,6.39,372.15,1.71704957678355,108.445236428435,1.58472316944634
"157","sampling_area=Area_01__season=Spring__sex=F","prey_2",12,19,63.1578947368421,5.89,372.15,1.58269514980519,99.9596936719065,1.46072292144584
"158","sampling_area=Area_01__season=Spring__sex=F","prey_46",12,19,63.1578947368421,5.89,372.15,1.58269514980519,99.9596936719065,1.46072292144584
"159","sampling_area=Area_01__season=Spring__sex=F","prey_3",12,19,63.1578947368421,5.72,372.15,1.53701464463254,97.0746091346868,1.41856283712567
"160","sampling_area=Area_01__season=Spring__sex=F","prey_35",10,19,52.6315789473684,6.78,372.15,1.82184602982668,95.8866331487728,1.4012028024056
"161","sampling_area=Area_01__season=Spring__sex=F","prey_42",12,19,63.1578947368421,5.5,372.15,1.47789869676206,93.3409703218142,1.36400272800546
"162","sampling_area=Area_01__season=Spring__sex=F","prey_22",11,19,57.8947368421053,5.99,372.15,1.60956603520086,93.1854020379445,1.36172939012545
"163","sampling_area=Area_01__season=Spring__sex=F","prey_18",12,19,63.1578947368421,5.49,372.15,1.47521160822249,93.1712594666837,1.36152272304545
"164","sampling_area=Area_01__season=Spring__sex=F","prey_51",11,19,57.8947368421053,5.3,372.15,1.42415692597071,82.4511904509359,1.20486907640482
"165","sampling_area=Area_01__season=Spring__sex=F","prey_21",12,19,63.1578947368421,4.29,372.15,1.15276098347441,72.8059568510151,1.06392212784426
"166","sampling_area=Area_01__season=Spring__sex=F","prey_29",10,19,52.6315789473684,5.02,372.15,1.34891844686282,70.9957077296223,1.03746874160415
"167","sampling_area=Area_01__season=Spring__sex=F","prey_24",11,19,57.8947368421053,4.49,372.15,1.20650275426575,69.850159457491,1.02072870812408
"168","sampling_area=Area_01__season=Spring__sex=F","prey_55",13,19,68.4210526315789,3.71,372.15,0.996909848179498,68.2096211912288,0.996755326843987
"169","sampling_area=Area_01__season=Spring__sex=F","prey_19",11,19,57.8947368421053,3.96,372.15,1.06408706166868,61.6050404123974,0.900241800483601
"170","sampling_area=Area_01__season=Spring__sex=F","prey_9",8,19,42.1052631578947,5.36,372.15,1.44027945720812,60.6433455666575,0.886188439043545
"171","sampling_area=Area_01__season=Spring__sex=F","prey_7",11,19,57.8947368421053,3.77,372.15,1.0130323794169,58.6492430188733,0.857048380763428
"172","sampling_area=Area_01__season=Spring__sex=F","prey_30",10,19,52.6315789473684,4.04,372.15,1.08558376998522,57.135987893959,0.83493500320334
"173","sampling_area=Area_01__season=Spring__sex=F","prey_17",11,19,57.8947368421053,3.47,372.15,0.93241972322988,53.9821945027826,0.788848244363155
"174","sampling_area=Area_01__season=Spring__sex=F","prey_47",9,19,47.3684210526316,3.57,372.15,0.959290608625554,45.4400814612105,0.664021328042656
"175","sampling_area=Area_01__season=Spring__sex=F","prey_39",8,19,42.1052631578947,3.93,372.15,1.05602579604998,44.4642440442097,0.649761299522599
"176","sampling_area=Area_01__season=Spring__sex=F","prey_48",9,19,47.3684210526316,3.31,372.15,0.889426306596802,42.1307197861643,0.615661231322463
"177","sampling_area=Area_01__season=Spring__sex=F","prey_10",8,19,42.1052631578947,3.56,372.15,0.956603520085987,40.2780429509889,0.588587843842354
"178","sampling_area=Area_01__season=Spring__sex=F","prey_43",7,19,36.8421052631579,2.44,372.15,0.65564960365444,24.1555117135846,0.352987372641412
"179","sampling_area=Area_01__season=Spring__sex=F","prey_37",6,19,31.5789473684211,2,372.15,0.537417707913476,16.9710855130571,0.248000496000992
"180","sampling_area=Area_01__season=Spring__sex=F","prey_13",6,19,31.5789473684211,1.09,372.15,0.292892650812844,9.24924160461614,0.135160270320541
"181","sampling_area=Area_01__season=Spring__sex=M","prey_55",12,13,92.3076923076923,6.94,252.24,2.75134792261338,253.970577472005,3.72467462766671
"182","sampling_area=Area_01__season=Spring__sex=M","prey_41",10,13,76.9230769230769,6.74,252.24,2.6720583571202,205.542950547708,3.01444608435082
"183","sampling_area=Area_01__season=Spring__sex=M","prey_11",12,13,92.3076923076923,5.61,252.24,2.22407231208373,205.298982653883,3.01086810680263
"184","sampling_area=Area_01__season=Spring__sex=M","prey_21",11,13,84.6153846153846,5.51,252.24,2.18442752933714,184.836175559296,2.71076523994812
"185","sampling_area=Area_01__season=Spring__sex=M","prey_56",11,13,84.6153846153846,5.16,252.24,2.04567078972407,173.09522066896,2.53857507044143
"186","sampling_area=Area_01__season=Spring__sex=M","prey_33",10,13,76.9230769230769,5.65,252.24,2.23993022518237,172.302325014028,2.52694664340981
"187","sampling_area=Area_01__season=Spring__sex=M","prey_36",10,13,76.9230769230769,5.54,252.24,2.19632096416112,168.947766473932,2.47774945212219
"188","sampling_area=Area_01__season=Spring__sex=M","prey_38",9,13,69.2307692307692,6.12,252.24,2.42626070409134,167.971894898631,2.46343754192942
"189","sampling_area=Area_01__season=Spring__sex=M","prey_54",10,13,76.9230769230769,5.28,252.24,2.09324452901998,161.018809924614,2.36146518180598
"190","sampling_area=Area_01__season=Spring__sex=M","prey_13",9,13,69.2307692307692,5.85,252.24,2.31921979067555,160.561370123692,2.35475647390313
"191","sampling_area=Area_01__season=Spring__sex=M","prey_42",10,13,76.9230769230769,5.13,252.24,2.03377735490009,156.444411915392,2.2943781027774
"192","sampling_area=Area_01__season=Spring__sex=M","prey_6",10,13,76.9230769230769,5.01,252.24,1.98620361560419,152.784893508014,2.24070843955454
